number,p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023,
13,3625.HK,傅里叶,2026/03/30,118537,111790,6747,0,23115.00000000000000000000,6115.00000000000000000000,17000.0000000000000000,0,18467.5330000000000000000000000000000000000000,11720.5330000000000000000000000000000000000000,6747,0,44,32,12,0,3118.4300000000000000,5.0000000000000000,资讯科技业,信息技术,
14,1021.HK,华沿机器人,2026/03/27,227070,201193,25877,0,47613.00000000000000000000,4015.00000000000000000000,43598.0000000000000000,0,66210.3148000000000000000000000000000000000000,40333.3148000000000000000000000000000000000000,25877,0,41,28,13,0,5059.3800000000000000,5.0000000000000000,工业,信息技术,
15,2526.HK,德适-B,2026/03/27,115017,108097,6920,0,38254.00000000000000000000,3255.00000000000000000000,34999.0000000000000000,0,14123.3857000000000000000000000000000000000000,7926.1057000000000000000000000000000000000000,6197.280000000000000000000000000000000000,0,48,31,17,0,1073.3700000000000000,3.0000000000000000,医疗保健业,医疗保健,
16,2726.HK,瀚天天成,2026/03/27,45084,44757,327,0,115747.00000000000000000000,4255.00000000000000000000,111492.0000000000000000,0,13258.4119000000000000000000000000000000000000,12931.4119000000000000000000000000000000000000,327,0,1438,81,1357,0,50.6600000000000000,20.0000000000000000,资讯科技业,信息技术,
17,3355.HK,飞速创新,2026/03/27,11492,0,11492,0,74000.0000000000000000,0,74000.0000000000000000,0,11492,0,11492,0,18,0,18,0,1579.7100000000000000,1.00000000000000000000,资讯科技业,信息技术,
18,6636.HK,极视角,2026/03/27,159089,150118,8971,0,30495.00000000000000000000,12255.00000000000000000000,18240.0000000000000000,0,33740.0330000000000000000000000000000000000000,24769.0330000000000000000000000000000000000000,8971,0,47,37,10,0,4591.3700000000000000,10.0000000000000000,资讯科技业,信息技术,
19,2632.HK,泽景股份,2026/03/23,31183,31027,156,0,82481.00000000000000000000,12255.00000000000000000000,70226.0000000000000000,0,14839.6268000000000000000000000000000000000000,14683.6268000000000000000000000000000000000000,156,0,1261,46,1215,0,68.8900000000000000,30.0000000000000000,非必需性消费,信息技术,
20,2729.HK,凯乐士科技,2026/03/23,107253,97501,9752,0,60214.00000000000000000000,4015.00000000000000000000,56199.0000000000000000,0,17657.9173000000000000000000000000000000000000,9484.0673000000000000000000000000000000000000,8173.850000000000000000000000000000000000,0,40,28,12,0,2153.2600000000000000,5.0000000000000000,资讯科技业,信息技术,
21,2701.HK,国民技术,2026/03/20,56547,55591,956,0,98765.00000000000000000000,7515.00000000000000000000,91250.0000000000000000,0,24386.0535000000000000000000000000000000000000,23430.0535000000000000000000000000000000000000,956,0,500,30,470,0,131.8300000000000000,30.0000000000000000,资讯科技业,信息技术,
22,3355.HK,飞速创新,2026/03/20,185264,185264,0,0,6115.00000000000000000000,6115.00000000000000000000,0,0,19732.9989000000000000000000000000000000000000,19732.9989000000000000000000000000000000000000,0,0,32,32,0,0,1579.7100000000000000,1.00000000000000000000,资讯科技业,信息技术,
23,1989.HK,广合科技,2026/03/19,202417,180250,22167,0,118115.00000000000000000000,2715.00000000000000000000,115400.0000000000000000,0,39605.0147000000000000000000000000000000000000,23272.6947000000000000000000000000000000000000,16332.320000000000000000000000000000000000,0,72,28,44,0,1070.7200000000000000,5.0000000000000000,工业,信息技术,
24,3268.HK,美格智能,2026/03/09,57965,57033,932,0,105115.00000000000000000000,6115.00000000000000000000,99000.0000000000000000,0,15507.6295000000000000000000000000000000000000,14575.6295000000000000000000000000000000000000,932,0,456,38,418,0,174.1200000000000000,5.0000000000000000,资讯科技业,信息技术,
25,2649.HK,优乐赛共享,2026/03/06,162571,150874,11697,0,14689.00000000000000000000,3955.00000000000000000000,10734.0000000000000000,0,3769.7822000000000000000000000000000000000000,2153.1572000000000000000000000000000000000000,1616.6250000000000000000000000000000000000000,0,41,33,8,0,5297.2300000000000000,0.04000000000000000000,工业,非日常生活消费品,
26,2692.HK,兆威机电,2026/03/06,180292,160689,19603,0,96489.00000000000000000000,2715.00000000000000000000,93774.0000000000000000,0,24154.2606000000000000000000000000000000000000,13497.5606000000000000000000000000000000000000,10656.700000000000000000000000000000000000,0,57,28,29,0,1536.7600000000000000,4.0000000000000000,工业,非日常生活消费品,
27,2715.HK,埃斯顿,2026/03/06,27190,27052,138,0,86710.00000000000000000000,4015.00000000000000000000,82695.0000000000000000,0,6800.1203000000000000000000000000000000000000,6662.1203000000000000000000000000000000000000,138,0,4675,191,4484,0,19.6700000000000000,4.9900000000000000,工业,工业,
28,2706.HK,海致科技集团,2026/02/12,232258,205872,26386,0,55023.00000000000000000000,3015.00000000000000000000,52008.0000000000000000,0,12976.2888000000000000000000000000000000000000,7052.5284000000000000000000000000000000000000,5923.7604000000000000000000000000000000000000,0,40,27,13,0,5065.0600000000000000,0.06000000000000000000,资讯科技业,信息技术,
29,9981.HK,沃尔核材,2026/02/12,141463,132491,8972,0,165012.00000000000000000000,4015.00000000000000000000,160997.0000000000000000,0,31549.8691000000000000000000000000000000000000,22577.8691000000000000000000000000000000000000,8972,0,220,30,190,0,569.5800000000000000,0.33000000000000000000,工业,信息技术,
30,0470.HK,先导智能,2026/02/10,57322,55943,1379,0,218803.00000000000000000000,5995.00000000000000000000,212808.0000000000000000,0,28578.5570000000000000000000000000000000000000,27199.5570000000000000000000000000000000000000,1379,0,1256,73,1183,0,79.5400000000000000,18.0000000000000000,工业,工业,
31,0600.HK,爱芯元智,2026/02/09,85091,83513,1578,0,162453.00000000000000000000,5995.00000000000000000000,156458.0000000000000000,0,40332.0985000000000000000000000000000000000000,38754.0985000000000000000000000000000000000000,1578,0,829,47,782,0,104.8200000000000000,18.0000000000000000,资讯科技业,信息技术,
32,2720.HK,乐欣户外,2026/02/09,111036,101646,9390,0,17475.00000000000000000000,3255.00000000000000000000,14220.0000000000000000,0,5919.2673000000000000000000000000000000000000,2783.0113000000000000000000000000000000000000,3136.256000000000000000000000000000000000,0,39,31,8,0,3654.2300000000000000,1.00000000000000000000,非必需性消费,非日常生活消费品,
33,6809.HK,澜起科技,2026/02/06,260646,232844,27802,0,153060.00000000000000000000,1615.00000000000000000000,151445.0000000000000000,0,56750.4215000000000000000000000000000000000000,32942.6915000000000000000000000000000000000000,23807.730000000000000000000000000000000000,0,106,26,80,0,707.3000000000000000,5.0000000000000000,资讯科技业,信息技术,
34,2677.HK,卓正医疗,2026/02/05,147844,140545,7299,0,20005.00000000000000000000,6855.00000000000000000000,13150.0000000000000000,0,9117.0663000000000000000000000000000000000000,4797.5713000000000000000000000000000000000000,4319.4950000000000000000000000000000000000000,0,39,34,5,0,2730.7300000000000000,1.00000000000000000000,医疗保健业,医疗保健,
35,2714.HK,牧原股份,2026/02/05,21268,21187,81,0,238091.00000000000000000000,6115.00000000000000000000,231976.0000000000000000,0,21268.0000000000000000000000000000000000000000,21187.0000000000000000000000000000000000000000,81,0,26958,1972,24986,0,5.8800000000000000,100.0000000000000000,必需性消费,日常消费品,
36,3200.HK,大族数控,2026/02/05,159985,146253,13732,0,120341.00000000000000000000,2115.00000000000000000000,118226.0000000000000000,0,39014.0992000000000000000000000000000000000000,25282.0992000000000000000000000000000000000000,13732,0,78,27,51,0,446.3900000000000000,10.0000000000000000,工业,信息技术,
37,2768.HK,国恩科技,2026/02/03,171047,154503,16544,0,69085.00000000000000000000,3585.00000000000000000000,65500.0000000000000000,0,14476.7979000000000000000000000000000000000000,7424.2979000000000000000000000000000000000000,7052.500000000000000000000000000000000000,0,45,27,18,0,2251.8500000000000000,2.0000000000000000,原材料业,原材料,
38,9980.HK,东鹏饮料,2026/02/02,66692,64575,2117,0,73060.00000000000000000000,915.00000000000000000000,72145.0000000000000000,0,20112.7746000000000000000000000000000000000000,17995.7746000000000000000000000000000000000000,2117,0,805,25,780,0,57.4600000000000000,15.0000000000000000,必需性消费,日常消费品,
39,1768.HK,鸣鸣很忙,2026/01/27,229245,202454,26791,0,54166.00000000000000000000,915.00000000000000000000,53251.0000000000000000,0,14552.2822000000000000000000000000000000000000,7076.3885000000000000000000000000000000000000,7475.8937000000000000000000000000000000000000,0,40,24,16,0,1899.4900000000000000,3.0000000000000000,必需性消费,日常消费品,
40,9611.HK,龙旗科技,2026/01/21,145096,134255,10841,0,121125.00000000000000000000,5995.00000000000000000000,115130.0000000000000000,0,29558.9440000000000000000000000000000000000000,18717.9440000000000000000000000000000000000000,10841,0,87,29,58,0,1149.7600000000000000,0.20000000000000000000,资讯科技业,信息技术,
41,1641.HK,红星冷链,2026/01/12,103102,98005,5097,0,14581.00000000000000000000,3255.00000000000000000000,11326.0000000000000000,0,4664.1228000000000000000000000000000000000000,2372.2572000000000000000000000000000000000000,2291.865600000000000000000000000000000000,0,38,31,7,0,2309.2500000000000000,1.00000000000000000000,地产建筑业,工业,
42,3986.HK,兆易创新,2026/01/12,148419,135727,12692,0,86573.00000000000000000000,1215.00000000000000000000,85358.0000000000000000,0,25841.5078000000000000000000000000000000000000,14448.6078000000000000000000000000000000000000,11392.900000000000000000000000000000000000,0,71,25,46,0,542.2200000000000000,2.0000000000000000,资讯科技业,信息技术,
43,8610.HK,BBSB INTL,2026/01/12,145089,138549,6540,0,15555.00000000000000000000,9930.00000000000000000000,5625.0000000000000000,0,3390.6125000000000000000000000000000000000000,1417.0500000000000000000000000000000000000000,1973.5625000000000000000000000000000000000000,0,37,35,2,0,10745.130000000000,0.05000000000000000000,地产建筑业,工业,
44,0501.HK,豪威集团,2026/01/09,14551,14423,128,0,81015.00000000000000000000,1615.00000000000000000000,79400.0000000000000000,0,14551.0000000000000000000000000000000000000000,14423.0000000000000000000000000000000000000000,128,0,6874,76,6798,0,9.2800000000000000,100.0000000000000000,资讯科技业,信息技术,
45,0100.HK,MINIMAX-W,2026/01/08,417646,397689,19957,0,131752.00000000000000000000,5515.00000000000000000000,126237.0000000000000000,0,104902.3694000000000000000000000000000000000000,84945.3694000000000000000000000000000000000000,19957,0,138,33,105,0,1837.1700000000000000,2.8100000000000000,资讯科技业,信息技术,
46,3636.HK,金浔资源,2026/01/08,64456,63574,882,0,62571.00000000000000000000,5380.00000000000000000000,57191.0000000000000000,0,64456,63574,882,0,301,40,261,0,143.4600000000000000,7.0000000000000000,原材料业,原材料,
47,6938.HK,瑞博生物-B,2026/01/08,42771,41829,942,0,40637.00000000000000000000,2065.00000000000000000000,38572.0000000000000000,0,5365.4970000000000000000000000000000000000000,4423.4970000000000000000000000000000000000000,942,0,311,42,269,0,101.0600000000000000,1.7100000000000000,医疗保健业,医疗保健,
48,2513.HK,智谱,2026/01/07,204871,190045,14826,0,50470.00000000000000000000,1615.00000000000000000000,48855.0000000000000000,0,50940.0983000000000000000000000000000000000000,36114.0983000000000000000000000000000000000000,14826,0,108,26,82,0,1159.4600000000000000,5.0000000000000000,资讯科技业,信息技术,
49,2675.HK,精锋医疗-B,2026/01/07,196179,189777,6402,0,73976.00000000000000000000,6115.00000000000000000000,67861.0000000000000000,0,19930.1026000000000000000000000000000000000000,13528.1026000000000000000000000000000000000000,6402,0,59,32,27,0,1091.9400000000000000,0.50000000000000000000,医疗保健业,医疗保健,
50,9903.HK,天数智芯,2026/01/07,180802,171067,9735,0,83831.00000000000000000000,1215.00000000000000000000,82616.0000000000000000,0,22460.3999000000000000000000000000000000000000,12725.3999000000000000000000000000000000000000,9735,0,43,25,18,0,414.2400000000000000,7.0000000000000000,资讯科技业,信息技术,
51,6082.HK,壁仞科技,2025/12/31,471116,441861,29255,0,130977.00000000000000000000,4015.00000000000000000000,126962.0000000000000000,0,135523.7043000000000000000000000000000000000000,106268.7043000000000000000000000000000000000000,29255,0,106,29,77,0,2347.5300000000000000,5.0000000000000000,资讯科技业,信息技术,
52,2657.HK,林清轩,2025/12/29,169712,159642,10070,0,66221.00000000000000000000,5455.00000000000000000000,60766.0000000000000000,0,24096.8194000000000000000000000000000000000000,14026.8194000000000000000000000000000000000000,10070,0,46,33,13,0,1235.8100000000000000,2.0000000000000000,医疗保健业,日常消费品,
53,2671.HK,美联股份,2025/12/29,53657,53443,214,0,30515.00000000000000000000,10215.00000000000000000000,20300.0000000000000000,0,3029.0513000000000000000000000000000000000000,2815.0513000000000000000000000000000000000000,214,0,231,68,163,0,146.2500000000000000,0.75000000000000000000,地产建筑业,工业,
54,3317.HK,迅策,2025/12/29,9730,9696,34,0,29965.00000000000000000000,3515.00000000000000000000,26450.0000000000000000,0,3189.7676000000000000000000000000000000000000,3155.7676000000000000000000000000000000000000,34,0,4713,401,4312,0,7.2400000000000000,12.7800000000000000,资讯科技业,信息技术,
55,3696.HK,英矽智能,2025/12/29,221926,206081,15845,0,31724.00000000000000000000,1855.00000000000000000000,29869.0000000000000000,0,18145.2571000000000000000000000000000000000000,9522.9771000000000000000000000000000000000000,8622.280000000000000000000000000000000000,0,43,29,14,0,1427.3700000000000000,1.00000000000000000000,医疗保健业,医疗保健,
56,6600.HK,卧安机器人,2025/12/29,89935,87022,2913,0,71226.00000000000000000000,2715.00000000000000000000,68511.0000000000000000,0,13733.7442000000000000000000000000000000000000,10820.7442000000000000000000000000000000000000,2913,0,235,28,207,0,254.5000000000000000,7.0000000000000000,非必需性消费,非日常生活消费品,
57,6651.HK,五一视界,2025/12/29,44502,43820,682,0,24012.00000000000000000000,5115.00000000000000000000,18897.0000000000000000,0,10513.6006000000000000000000000000000000000000,9831.6006000000000000000000000000000000000000,682,0,300,48,252,0,256.0100000000000000,10.0000000000000000,资讯科技业,信息技术,
58,2635.HK,诺比侃,2025/12/22,33051,32605,446,0,24442.00000000000000000000,3255.00000000000000000000,21187.0000000000000000,0,3849.4256000000000000000000000000000000000000,3403.4256000000000000000000000000000000000000,446,0,135,32,103,0,188.7400000000000000,3.0000000000000000,资讯科技业,信息技术,
59,2661.HK,轻松健康,2025/12/22,111894,106191,5703,0,55400.00000000000000000000,3265.00000000000000000000,52135.0000000000000000,0,12359.7326000000000000000000000000000000000000,6656.7326000000000000000000000000000000000000,5703.000000000000000000000000000000000000,0,40,25,15,0,1421.4700000000000000,6.0000000000000000,非必需性消费,金融,
60,3378.HK,翰思艾泰-B,2025/12/22,139704,128426,11278,0,50275.00000000000000000000,6115.00000000000000000000,44160.0000000000000000,0,17580.3286000000000000000000000000000000000000,9015.7446000000000000000000000000000000000000,8564.5840000000000000000000000000000000000000,0,40,32,8,0,3074.0900000000000000,1.00000000000000000000,医疗保健业,医疗保健,
61,2396.HK,华芢生物-B,2025/12/19,146647,141939,4708,0,26927.00000000000000000000,2515.00000000000000000000,24412.0000000000000000,0,7931.2224000000000000000000000000000000000000,4408.9224000000000000000000000000000000000000,3522.300000000000000000000000000000000000,0,40,26,14,0,791.9500000000000000,2.5000000000000000,医疗保健业,医疗保健,
62,2581.HK,明基医院,2025/12/19,9291,9275,16,0,23155.00000000000000000000,3255.00000000000000000000,19900.0000000000000000,0,5353.2334000000000000000000000000000000000000,5337.2334000000000000000000000000000000000000,16,0,4434,127,4307,0,6.2800000000000000,50.0100000000000000,医疗保健业,医疗保健,
63,2691.HK,南华期货股份,2025/12/19,7479,7474,5,0,10255.00000000000000000000,2455.00000000000000000000,7800.0000000000000000,0,6042.8632000000000000000000000000000000000000,6037.8632000000000000000000000000000000000000,5,0,9535,1735,7800,0,1.9100000000000000,74.6400000000000000,金融业,金融,
64,2695.HK,印象大红袍,2025/12/19,114610,109770,4840,0,12120.00000000000000000000,7315.00000000000000000000,4805.0000000000000000,0,3418.1577000000000000000000000000000000000000,1806.3497000000000000000000000000000000000000,1611.808000000000000000000000000000000000,0,36,33,3,0,3397.4800000000000000,0.80000000000000000000,非必需性消费,非日常生活消费品,
65,2546.HK,智汇矿业,2025/12/18,177542,160873,16669,0,33713.00000000000000000000,6115.00000000000000000000,27598.0000000000000000,0,12569.4360000000000000000000000000000000000000,6338.5442000000000000000000000000000000000000,6230.8918000000000000000000000000000000000000,0,40,32,8,0,5248.1500000000000000,1.00000000000000000000,原材料业,原材料,
66,3881.HK,希迪智驾,2025/12/18,17353,17277,76,0,76635.00000000000000000000,6115.00000000000000000000,70520.0000000000000000,0,12473.0120000000000000000000000000000000000000,12397.0120000000000000000000000000000000000000,76,0,6395,260,6135,0,22.5500000000000000,50.0000000000000000,工业,信息技术,
67,3887.HK,HASHKEY HLDGS,2025/12/16,88592,84984,3608,0,180186.00000000000000000000,8365.00000000000000000000,171821.0000000000000000,0,29796.0625000000000000000000000000000000000000,26188.0625000000000000000000000000000000000000,3608,0,264,34,230,0,393.7100000000000000,10.0000000000000000,金融业,金融,
68,2655.HK,果下科技,2025/12/15,161076,151327,9749,0,229842.00000000000000000000,18990.00000000000000000000,210852.0000000000000000,0,161076,151327,9749,0,72,30,42,0,1890.7300000000000000,10.0000000000000000,工业,工业,
69,7618.HK,京东工业,2025/12/10,72234,71515,719,0,302817.00000000000000000000,5515.00000000000000000000,297302.0000000000000000,0,39170.5201000000000000000000000000000000000000,38451.5201000000000000000000000000000000000000,719,0,3154,56,3098,0,60.5200000000000000,35.0000000000000000,工业,工业,
70,2659.HK,宝济药业-B,2025/12/09,282687,262059,20628,0,106571.00000000000000000000,25071.00000000000000000000,81500.0000000000000000,0,37883.6127000000000000000000000000000000000000,20650.0127000000000000000000000000000000000000,17233.6000000000000000000000000000000000000000,0,44,33,11,0,3526.3400000000000000,7.0000000000000000,医疗保健业,医疗保健,
71,2676.HK,纳芯微,2025/12/05,21942,21743,199,0,38115.00000000000000000000,1615.00000000000000000000,36500.0000000000000000,0,4822.4407000000000000000000000000000000000000,4623.4407000000000000000000000000000000000000,199,0,1460,67,1393,0,25.3300000000000000,4.3200000000000000,资讯科技业,信息技术,
72,2687.HK,卓越睿新,2025/12/05,135193,122759,12434,0,22648.00000000000000000000,3415.00000000000000000000,19233.0000000000000000,0,6665.9924000000000000000000000000000000000000,3859.8438000000000000000000000000000000000000,2806.1486000000000000000000000000000000000000,0,40,29,11,0,4813.4000000000000000,1.00000000000000000000,资讯科技业,信息技术,
73,2408.HK,遇见小面,2025/12/04,61057,59309,1748,0,39991.00000000000000000000,6855.00000000000000000000,33136.0000000000000000,0,9591.8740000000000000000000000000000000000000,7843.8740000000000000000000000000000000000000,1748,0,89,37,52,0,425.9700000000000000,2.0000000000000000,非必需性消费,非日常生活消费品,
74,2658.HK,天域半导体,2025/12/04,45511,45019,492,0,150325.00000000000000000000,8455.00000000000000000000,141870.0000000000000000,0,15388.6317000000000000000000000000000000000000,14896.6317000000000000000000000000000000000000,492,0,2016,110,1906,0,60.6300000000000000,10.0000000000000000,资讯科技业,信息技术,
75,2539.HK,乐摩科技,2025/12/02,173139,159958,13181,0,21493.00000000000000000000,7315.00000000000000000000,14178.0000000000000000,0,5780.1745000000000000000000000000000000000000,2980.8191000000000000000000000000000000000000,2799.3554000000000000000000000000000000000000,0,40,33,7,0,7324.2900000000000000,0.80000000000000000000,非必需性消费,非日常生活消费品,
76,2693.HK,金岩高岭新材,2025/12/02,171899,158143,13756,0,33770.00000000000000000000,10910.00000000000000000000,22860.0000000000000000,0,171899,158143,13756,0,39,33,6,0,6876.1700000000000000,0.03000000000000000000,原材料业,原材料,
77,9609.HK,海伟股份,2025/11/27,165803,151135,14668,0,43723.00000000000000000000,5515.00000000000000000000,38208.0000000000000000,0,18306.1223000000000000000000000000000000000000,8972.5519000000000000000000000000000000000000,9333.5704000000000000000000000000000000000000,0,38,29,9,0,5426.2700000000000000,1.00000000000000000000,工业,信息技术,
78,2685.HK,量化派,2025/11/26,159327,146963,12364,0,18380.00000000000000000000,13310.00000000000000000000,5070.0000000000000000,0,159327,146963,12364,0,40,38,2,0,9366.2800000000000000,0.60000000000000000000,非必需性消费,通讯业务,
79,2788.HK,创新实业,2025/11/21,145228,132968,12260,0,210255.00000000000000000000,3255.00000000000000000000,207000.0000000000000000,0,51851.9357000000000000000000000000000000000000,39591.9357000000000000000000000000000000000000,12260,0,158,33,125,0,447.2000000000000000,10.0000000000000000,原材料业,原材料,
80,2579.HK,中伟新材,2025/11/16,40241,39925,316,0,81071.00000000000000000000,3015.00000000000000000000,78056.0000000000000000,0,13791.2832000000000000000000000000000000000000,13475.2832000000000000000000000000000000000000,316,0,2871,80,2791,0,27.9000000000000000,10.0000000000000000,原材料业,原材料,
81,2698.HK,乐舒适,2025/11/07,294053,270534,23519,0,135236.00000000000000000000,3015.00000000000000000000,132221.0000000000000000,0,40757.9174000000000000000000000000000000000000,22399.8674000000000000000000000000000000000000,18358.050000000000000000000000000000000000,0,51,27,24,0,1813.7700000000000000,1.00000000000000000000,必需性消费,日常消费品,
82,0699.HK,均胜电子,2025/11/05,94653,92791,1862,0,57765.00000000000000000000,1855.00000000000000000000,55910.0000000000000000,0,17405.9863000000000000000000000000000000000000,15543.9863000000000000000000000000000000000000,1862,0,117,29,88,0,147.6700000000000000,16.0000000000000000,非必需性消费,非日常生活消费品,
83,0800.HK,文远知行-W,2025/11/05,64949,64546,403,0,87177.00000000000000000000,6115.00000000000000000000,81062.0000000000000000,0,19612.6033000000000000000000000000000000000000,19209.6033000000000000000000000000000000000000,403,0,4143,400,3743,0,73.4400000000000000,6.6400000000000000,资讯科技业,信息技术,
84,2026.HK,小马智行-W,2025/11/05,37062,36619,443,0,79093.00000000000000000000,915.00000000000000000000,78178.0000000000000000,0,21420.1976000000000000000000000000000000000000,20977.1976000000000000000000000000000000000000,443,0,924,24,900,0,15.8800000000000000,55.0000000000000000,资讯科技业,信息技术,
85,2630.HK,旺山旺水-B,2025/11/05,265188,244283,20905,0,33764.00000000000000000000,4915.00000000000000000000,28849.0000000000000000,0,10298.6009000000000000000000000000000000000000,4780.2007000000000000000000000000000000000000,5518.4002000000000000000000000000000000000000,0,46,33,13,0,6238.4200000000000000,1.6800000000000000,医疗保健业,医疗保健,
86,9927.HK,赛力斯,2025/11/04,202321,194850,7471,0,200215.00000000000000000000,1215.00000000000000000000,199000.0000000000000000,0,57929.0743000000000000000000000000000000000000,50458.0743000000000000000000000000000000000000,7471,0,954,25,929,0,132.6800000000000000,10.0000000000000000,非必需性消费,非日常生活消费品,
87,2718.HK,明略科技-W,2025/10/31,283629,259920,23709,0,46639.00000000000000000000,2865.00000000000000000000,43774.0000000000000000,0,18068.9120000000000000000000000000000000000000,8913.6340000000000000000000000000000000000000,9155.2780000000000000000000000000000000000000,0,40,28,12,0,4452.8600000000000000,1.00000000000000000000,资讯科技业,信息技术,
88,1384.HK,滴普科技,2025/10/27,236934,219961,16973,0,16344.00000000000000000000,6015.00000000000000000000,10329.0000000000000000,0,25215.1007000000000000000000000000000000000000,13249.9007000000000000000000000000000000000000,11965.200000000000000000000000000000000000,0,36,31,5,0,7569.8300000000000000,3.0000000000000000,资讯科技业,信息技术,
89,6031.HK,三一重工,2025/10/27,115863,113392,2471,0,545121.00000000000000000000,4015.00000000000000000000,541106.0000000000000000,0,81770.1422000000000000000000000000000000000000,79299.1422000000000000000000000000000000000000,2471,0,6780,89,6691,0,52.9300000000000000,50.0000000000000000,工业,工业,
90,6166.HK,剑桥科技,2025/10/27,206461,199662,6799,0,227265.00000000000000000000,6855.00000000000000000000,220410.0000000000000000,0,55146.2908000000000000000000000000000000000000,48347.2908000000000000000000000000000000000000,6799,0,392,42,350,0,338.7000000000000000,5.0000000000000000,资讯科技业,通讯业务,
91,6980.HK,八马茶业,2025/10/27,168027,162764,5263,0,27115.00000000000000000000,6115.00000000000000000000,21000.0000000000000000,0,8361.4490000000000000000000000000000000000000,4431.1490000000000000000000000000000000000000,3930.300000000000000000000000000000000000,0,39,32,7,0,2680.0400000000000000,0.80000000000000000000,必需性消费,日常消费品,
