security_key,code,name,cornerstone_names,cornerstone_investor_count,cornerstone_amount_hkd,cornerstone_ratio,cornerstone_lockup_months,cornerstone_lockup_end_date,cornerstone_quality_tags,industry,source_files
1989.HK,1989.HK,广合科技,"惠理集团有限公司；UBS Asset Management (Singapore) Ltd.；景林资产管理香港有限公司；CPE Greater China Enterprises Growth Fund及CPE Growth Fund #1；Eastspring Investments (Singapore) Limited；大湾区共同家园投资有限公司；源峰资产管理及国泰君安投资；大家人寿保险股份有限公司；霸菱资产管理(亚洲)有限公司；MY Asian Opportunities Master Fund, L.P；工银理财有限责任公司；上海景林及中信证券国际资本管理有限公司",12,1485999780.0,0.4497,6.0,2026-09-20,产业方；长线基金；上市公司关联,电子设备和仪器,港股IPO基石投资者.csv
2026.HK,2026.HK,小马智行-W,Ghisallo Fund Master Ltd；Athos Capital Limited；Eastspring Investments (Singapore) Limited；Hel Ved Master Fund；Ocean Arete Limited,5,932273000.0,0.1391,6.0,2026-05-06,长线基金；主权/国资；上市公司关联,应用软件,港股IPO基石投资者.csv
2050.HK,2050.HK,三花智控,"Schroders；新加坡政府投资公司；Verition Fund Management LLC；Green Better Limited；钟鼎资本八期投资有限公司；Mega Prime Development Limited；Jane Street Asia Trading Limited；3W Fund Management Limited；泰康人寿保险有限责任公司；景林资产管理香港有限公司；工银理财有限责任公司；中邮理财有限责任公司；上海景林资产管理有限公司及华泰资本投资有限公司；Wind Sabre Opportunities Fund SP；Morgan Stanley & Co. International plc；Mirae Asset Securities Co., Ltd；Martis Fund, L.P.",17,4408777600.0,0.47209999999999996,6.0,2025-12-23,产业方；长线基金；主权/国资；上市公司关联,家用电器,港股IPO基石投资者.csv
2097.HK,2097.HK,蜜雪集团,"M&G Investments；HSG Growth VI Holdco F, Ltd.；Persistence Growth Limited；HHLR Fund, L.P.；Long-Z Fund I, LP",5,1557780000.0,0.4509,6.0,2025-09-03,长线基金,多品类零售,港股IPO基石投资者.csv
2228.HK,2228.HK,晶泰控股,海棠壹号有限合伙基金；Ginkgo Capital Global Fund SPC-Ginkgo Capital Global Fund I SP；Mammoth Medical Solutions；Successful Lotus Limited；IntelliMed One Investment Limited；FaaS Capital Longevity Limited；百奥赛图(北京)医药科技股份有限公司；Bradley L. Pentelute,8,337513440.0,0.34120000000000006,6.0,2024-12-13,长线基金；上市公司关联,工业机械和用品及零部件,港股IPO基石投资者.csv
2259.HK,2259.HK,紫金黄金国际,"GIC Private Limited；HHLR Advisors, Ltd.；BlackRock, Inc.；Schroders；富达基金(香港)有限公司；Baillie Gifford Overseas Limited及Baillie Gifford & Co；中国太保投资者；泰康人寿保险有限责任公司；上海景林及中信证券国际资本管理有限公司；Perseverance Asset Management International (Singapore) Pte. Ltd；Dao Yi Capital Limited；New Golden Future Limited；汇添富投资者；UBS Asset Management (Singapore) Ltd；加皇环球资产管理(亚洲)有限公司；广发国际资产管理有限公司；上海高毅及中信证券国际资本管理有限公司；CPE River Investment Limited；景顺投资管理有限公司；Oaktree Capital Management, L.P.；Mega Prime Development Limited及Poly Platinum EnterprisesLimited；Millennium；高亚投资有限公司；未来资产金融集团；富国资产管理(香港)有限公司及富国基金管理有限公司；斯派柯；景林资产管理香港有限公司；IDG Breyer Capital Fund L.P；Arc Avenue Asset Management Pte. Ltd",29,12468214626.0,0.4994,6.0,2026-03-31,产业方；长线基金；主权/国资；上市公司关联,黄金,港股IPO基石投资者.csv
2408.HK,2408.HK,遇见小面,"Zeta Wisdom OFC；Hong Kong Shengying Investment Limited；HHLR Advisors, Ltd.；国泰君安证券投资(香港)有限公司；Dream’ee (Hong Kong) Open-ended Fund Company；Hai Di Lao Holdings Pte. Ltd.",6,171019200.0,0.2495,6.0,2026-06-05,产业方；长线基金,餐馆,港股IPO基石投资者.csv
2410.HK,2410.HK,同源康医药-B,长兴兴长产业投资合伙企业(有限合伙),1,205700000.0,0.35509999999999997,6.0,2025-02-20,产业方；长线基金；主权/国资,制药,港股IPO基石投资者.csv
2431.HK,2431.HK,佑驾创新,康成亨国际投资有限公司；Horizon Together Holding Ltd.,2,540236200.0,0.8109,6.0,2025-06-27,长线基金,汽车零件与设备,港股IPO基石投资者.csv
2438.HK,2438.HK,出门问问,中关村国际有限公司；南京经开聚智科创投资合伙企业(有限合伙),2,95000000.0,0.29469999999999996,6.0,2024-10-24,产业方；长线基金；主权/国资,应用软件,港股IPO基石投资者.csv
2460.HK,2460.HK,华润饮料,"UBS AM Singapore；香港中旅(集团)有限公司；中邮人寿保险股份有限公司；Wildlife Willow Limited；Oaktree Capital Management, L.P.；PT Indadi Juver；Athos Capital Limited；Ghisallo Master Fund LP；Pamalican Fund Ltd.",9,2406895600.0,0.4773,6.0,2025-04-23,产业方；长线基金；主权/国资；上市公司关联,软饮料与不含酒精饮料,港股IPO基石投资者.csv
2465.HK,2465.HK,龙蟠科技,Harvest International Premium Value,1,110000000.0,0.2,6.0,2025-04-30,长线基金,电子元件,港股IPO基石投资者.csv
2476.HK,2476.HK,胜宏科技,"CPE Rosewood Investment Limited；Janchor Partners Pan-Asian Master Fund；Deliante Holdings Co., Ltd.；香港麦逊电子有限公司；New Alternative Limited；Morgan Stanley & Co. International plc；HACF, L.P.；Foresight Global Superior Choice SPC — Global Superior Choice Fund 1 SP、Foresight Global Superior Choice SPC — Vision Fund 1 SP及Foresight Global Superior Choice SPC — Horizon Fund 1 SP；Tropical Terrain Limited；涌容(香港)资产管理有限公司；Tanwan Inc.；Pinpoint Asset Management Limited；阳光人寿保险股份有限公司；惠州市惠联投资合伙企业(有限合伙)；Greenwoods Asset Management Hong Kong Limited；MY Asian Opportunities Master Fund, L.P.；New Golden Future Limited；Ovata Capital Management Limited；叶国富；天弘基金管理有限公司；Ruihua (International) Investment Limited；SR Wealth Securities Limited；Metazone Link (HK) Limited；Infore Funds Series 1 Open-ended Fund Company – Infore Global Equity Fund；Golden K2 Falcon Open-ended Fund Company-Golden K2 Falcon 2 Investment Fund；信银(香港)投资有限公司；Cloudview Capital Limited；博时基金(国际)有限公司；鲁花道生(北京)企业管理发展有限公司；Jump Trading Pacific Pte. Ltd.；Mirae Asset Securities Co., Ltd.；Wind Sabre Fund SPC；光大理财有限责任公司；奇点资产管理有限公司；盘京港景投资基金；Mega Prime Development Limited；Black Dragon AP SPV1；HQ TELECOM SINGAPORE PTE. LTD.；Poly Platinum Enterprises Limited",39,7812267345.0,0.3881000000000001,6.0,2026-10-21,产业方；长线基金；主权/国资；上市公司关联,电子设备和仪器,港股IPO基石投资者.csv
2479.HK,2479.HK,天聚地合,The Reynold Lemkins Group (Asia) Limited；园丰国际有限公司；徐州经济技术开发区(香港)投资有限公司；Gold Wings Holdings Limited,4,319649713.5,0.7961999999999999,6.0,2024-12-28,产业方；长线基金；上市公司关联,信息科技咨询与其它服务,港股IPO基石投资者.csv
2493.HK,2493.HK,迈威生物-B,"香港君实有限公司；Sanjin International Co., Ltd.；国惠(香港)控股有限公司；昌荣国际有限公司；WuXi Biologics HealthCare Venture；锦绣中和(北京)资本管理有限公司",6,415178150.0,0.3187,6.0,2026-10-28,产业方；长线基金；主权/国资；上市公司关联,制药,港股IPO基石投资者.csv
2495.HK,2495.HK,声通科技,武汉光通共赢企业管理合伙企业(有限合伙)；江苏江控投资有限公司,2,276000000.0,0.40199999999999997,6.0,2025-01-10,产业方；长线基金,互联网服务和基础设施,港股IPO基石投资者.csv
2498.HK,2498.HK,速腾聚创,深圳市南山战略新兴产业投资有限公司,1,781140000.0,0.7929,6.0,2024-07-05,产业方；主权/国资,电子设备和仪器,港股IPO基石投资者.csv
2505.HK,2505.HK,EDA集团控股,中国太保投资管理(香港)有限公司；The Reynold Lemkins Group (Asia) Limited,2,50851000.0,0.22699999999999998,6.0,2024-11-28,产业方；长线基金,海港与服务,港股IPO基石投资者.csv
2506.HK,2506.HK,讯飞医疗科技,Costone China Growth Capital I L.P.；达安投资有限公司；横琴粤澳深度合作区产业投资基金(有限合伙)；讯医有限公司；星群有限公司,5,276748828.0,0.47489999999999993,6.0,2025-06-30,产业方；长线基金；主权/国资；上市公司关联,医疗保健技术,港股IPO基石投资者.csv
2507.HK,2507.HK,西锐,太仓高新科创发展有限公司；常熟东南产业投资有限公司；无锡建发新投空天投资合伙企业(有限合伙)；中国国有企业结构调整基金二期股份有限公司；无锡金投联盈产业投资合伙企业(有限合伙),5,851094750.0,0.5640000000000001,6.0,2025-01-12,产业方；长线基金；主权/国资；上市公司关联,航天航空与国防,港股IPO基石投资者.csv
2508.HK,2508.HK,圣贝拉集团,JKKB Limited；汪牵擎；GIMM Holding Limited；SS Morgan Capital Limited；敏睿商务咨询有限公司；华夏基金(香港)有限公司；吴启楠,7,324643434.0,0.44961000000000007,6.0,2025-12-26,产业方；长线基金；上市公司关联,保健护理机构,港股IPO基石投资者.csv
2509.HK,2509.HK,荃信生物-B,健鑫医药科技有限公司；蜂投资本有限公司；华东医药投资控股(香港)有限公司,3,195707500.0,0.8205,6.0,2024-09-20,产业方；上市公司关联,生物科技,港股IPO基石投资者.csv
2510.HK,2510.HK,德翔海运,Indigo Rainbow Limited；洪绮励；环世物流控股香港有限公司；Metro Shine Group Limited；王意分；Crane Movement Investment Limited,6,496346544.0,0.47309999999999997,6.0,2025-05-01,产业方；长线基金；上市公司关联,海上运输,港股IPO基石投资者.csv
