p03412_f001,p03412_f002,p03412_f003,p03412_f004,p03412_f005,p03412_f006,p03412_f007,p03412_f008
富途证券国际(香港)有限公司,2581.HK,明基医院,牵头经办人、包销商、账簿管理人,2025/12/22,-49.46466809421841541800,医疗及医学美容服务,保健护理服务
富途证券国际(香港)有限公司,2526.HK,德适-B,整体协调人、全球协调人、账簿管理人、包销商、牵头经办人,2026/03/30,111.7171717171717200,医疗设备及用品,医疗保健设备
富途证券国际(香港)有限公司,2513.HK,智谱,包销商、牵头经办人、账簿管理人,2026/01/08,13.1669535283993100,数码解决方案服务,应用软件
富途证券国际(香港)有限公司,2493.HK,迈威生物-B,全球协调人、牵头经办人、账簿管理人、包销商,2026/04/28,0.57887120115774240200,生物技术,制药
富途证券国际(香港)有限公司,2408.HK,遇见小面,账簿管理人、全球协调人、牵头经办人、整体协调人、包销商,2025/12/05,-27.84090909090909090900,餐饮,餐馆
富途证券国际(香港)有限公司,2396.HK,华芢生物-B,牵头经办人、包销商、账簿管理人,2025/12/22,-29.31937172774869109900,生物技术,制药
富途证券国际(香港)有限公司,1879.HK,曦智科技-P,包销商、账簿管理人,2026/04/28,383.6244541484716200,半导体设备与材料,半导体产品
富途证券国际(香港)有限公司,1768.HK,鸣鸣很忙,牵头经办人、账簿管理人、包销商,2026/01/28,69.0617075232459800,包装食品,食品零售
富途证券国际(香港)有限公司,1609.HK,天星医疗,账簿管理人、牵头经办人、包销商、全球协调人,2026/05/05,118.2741116751269000,医疗设备及用品,医疗保健设备
富途证券国际(香港)有限公司,1236.HK,乐动机器人,包销商、账簿管理人、牵头经办人,2026/05/11,127.6176024279210900,数码解决方案服务,工业机械和用品及零部件
富途证券国际(香港)有限公司,1187.HK,可孚医疗,整体协调人、牵头经办人、账簿管理人、全球协调人、包销商,2026/05/06,-1.09331299262649377100,医疗设备及用品,医疗保健设备
富途证券国际(香港)有限公司,1021.HK,华沿机器人,包销商、牵头经办人、账簿管理人,2026/03/30,8.2352941176470600,工业零件及器材,电子制造服务
富途证券国际(香港)有限公司,0664.HK,铜师傅,牵头经办人、包销商、账簿管理人,2026/03/31,-49.16666666666666666700,玩具及消闲用品,多品类零售
富途证券国际(香港)有限公司,0100.HK,MINIMAX-W,承销商、账簿管理人、牵头经办人,2026/01/09,109.0909090909090900,数码解决方案服务,互联网服务和基础设施
富途证券国际(香港)有限公司,0068.HK,群核科技,牵头经办人、账簿管理人、包销商,2026/04/17,144.0944881889763800,应用软件,应用软件
