p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023
3296.HK,华勤技术,2026/04/22,140150,126765,13385,0,149389.00000000000000000000,2715.00000000000000000000,146674.0000000000000000,0,42575.8096000000000000000000000000000000000000,29190.8096000000000000000000000000000000000000,13385,0,118,28,90,0,531.3300000000000000,12.0000000000000000,资讯科技业,信息技术
2476.HK,胜宏科技,2026/04/20,250606,219446,31160,0,102622.00000000000000000000,915.00000000000000000000,101707.0000000000000000,0,57310.4833000000000000000000000000000000000000,34917.2333000000000000000000000000000000000000,22393.250000000000000000000000000000000000,0,168,24,144,0,431.1500000000000000,0.71000000000000000000,工业,信息技术
0068.HK,群核科技,2026/04/16,240700,227540,13160,0,84057.00000000000000000000,7195.00000000000000000000,76862.0000000000000000,0,28321.7393000000000000000000000000000000000000,15971.6993000000000000000000000000000000000000,12350.040000000000000000000000000000000000,0,50,29,21,0,1590.5600000000000000,3.0000000000000000,资讯科技业,信息技术
3277.HK,长光辰芯,2026/04/16,266501,253633,12868,0,112762.00000000000000000000,6115.00000000000000000000,106647.0000000000000000,0,45814.9032000000000000000000000000000000000000,32946.9032000000000000000000000000000000000000,12868,0,71,32,39,0,1138.2100000000000000,1.00000000000000000000,工业,信息技术
6656.HK,思格新能,2026/04/15,202730,179452,23278,0,32902.00000000000000000000,715.00000000000000000000,32187.0000000000000000,0,13474.7027000000000000000000000000000000000000,6775.6927000000000000000000000000000000000000,6699.010000000000000000000000000000000000,0,38,23,15,0,1102.0500000000000000,2.0000000000000000,工业,工业
0664.HK,铜师傅,2026/03/30,26280,26134,146,0,23318.00000000000000000000,3415.00000000000000000000,19903.0000000000000000,0,3003.3542000000000000000000000000000000000000,2857.3542000000000000000000000000000000000000,146,0,630,80,550,0,59.5500000000000000,2.7800000000000000,非必需性消费,非日常生活消费品
3625.HK,傅里叶,2026/03/30,118537,111790,6747,0,23115.00000000000000000000,6115.00000000000000000000,17000.0000000000000000,0,18467.5330000000000000000000000000000000000000,11720.5330000000000000000000000000000000000000,6747,0,44,32,12,0,3118.4300000000000000,5.0000000000000000,资讯科技业,信息技术
1021.HK,华沿机器人,2026/03/27,227070,201193,25877,0,47613.00000000000000000000,4015.00000000000000000000,43598.0000000000000000,0,66210.3148000000000000000000000000000000000000,40333.3148000000000000000000000000000000000000,25877,0,41,28,13,0,5059.3800000000000000,5.0000000000000000,工业,信息技术
2526.HK,德适-B,2026/03/27,115017,108097,6920,0,38254.00000000000000000000,3255.00000000000000000000,34999.0000000000000000,0,14123.3857000000000000000000000000000000000000,7926.1057000000000000000000000000000000000000,6197.280000000000000000000000000000000000,0,48,31,17,0,1073.3700000000000000,3.0000000000000000,医疗保健业,医疗保健
2726.HK,瀚天天成,2026/03/27,45084,44757,327,0,115747.00000000000000000000,4255.00000000000000000000,111492.0000000000000000,0,13258.4119000000000000000000000000000000000000,12931.4119000000000000000000000000000000000000,327,0,1438,81,1357,0,50.6600000000000000,20.0000000000000000,资讯科技业,信息技术
6636.HK,极视角,2026/03/27,159089,150118,8971,0,30495.00000000000000000000,12255.00000000000000000000,18240.0000000000000000,0,33740.0330000000000000000000000000000000000000,24769.0330000000000000000000000000000000000000,8971,0,47,37,10,0,4591.3700000000000000,10.0000000000000000,资讯科技业,信息技术
2632.HK,泽景股份,2026/03/23,31183,31027,156,0,82481.00000000000000000000,12255.00000000000000000000,70226.0000000000000000,0,14839.6268000000000000000000000000000000000000,14683.6268000000000000000000000000000000000000,156,0,1261,46,1215,0,68.8900000000000000,30.0000000000000000,非必需性消费,信息技术
2729.HK,凯乐士科技,2026/03/23,107253,97501,9752,0,60214.00000000000000000000,4015.00000000000000000000,56199.0000000000000000,0,17657.9173000000000000000000000000000000000000,9484.0673000000000000000000000000000000000000,8173.850000000000000000000000000000000000,0,40,28,12,0,2153.2600000000000000,5.0000000000000000,资讯科技业,信息技术
2701.HK,国民技术,2026/03/20,56547,55591,956,0,98765.00000000000000000000,7515.00000000000000000000,91250.0000000000000000,0,24386.0535000000000000000000000000000000000000,23430.0535000000000000000000000000000000000000,956,0,500,30,470,0,131.8300000000000000,30.0000000000000000,资讯科技业,信息技术
3355.HK,飞速创新,2026/03/20,185264,185264,0,0,6115.00000000000000000000,6115.00000000000000000000,0,0,19732.9989000000000000000000000000000000000000,19732.9989000000000000000000000000000000000000,0,0,32,32,0,0,1579.7100000000000000,1.00000000000000000000,资讯科技业,信息技术
1989.HK,广合科技,2026/03/19,202417,180250,22167,0,118115.00000000000000000000,2715.00000000000000000000,115400.0000000000000000,0,39605.0147000000000000000000000000000000000000,23272.6947000000000000000000000000000000000000,16332.320000000000000000000000000000000000,0,72,28,44,0,1070.7200000000000000,5.0000000000000000,工业,信息技术
3268.HK,美格智能,2026/03/09,57965,57033,932,0,105115.00000000000000000000,6115.00000000000000000000,99000.0000000000000000,0,15507.6295000000000000000000000000000000000000,14575.6295000000000000000000000000000000000000,932,0,456,38,418,0,174.1200000000000000,5.0000000000000000,资讯科技业,信息技术
2649.HK,优乐赛共享,2026/03/06,162571,150874,11697,0,14689.00000000000000000000,3955.00000000000000000000,10734.0000000000000000,0,3769.7822000000000000000000000000000000000000,2153.1572000000000000000000000000000000000000,1616.6250000000000000000000000000000000000000,0,41,33,8,0,5297.2300000000000000,0.04000000000000000000,工业,非日常生活消费品
2692.HK,兆威机电,2026/03/06,180292,160689,19603,0,96489.00000000000000000000,2715.00000000000000000000,93774.0000000000000000,0,24154.2606000000000000000000000000000000000000,13497.5606000000000000000000000000000000000000,10656.700000000000000000000000000000000000,0,57,28,29,0,1536.7600000000000000,4.0000000000000000,工业,非日常生活消费品
2715.HK,埃斯顿,2026/03/06,27190,27052,138,0,86710.00000000000000000000,4015.00000000000000000000,82695.0000000000000000,0,6800.1203000000000000000000000000000000000000,6662.1203000000000000000000000000000000000000,138,0,4675,191,4484,0,19.6700000000000000,4.9900000000000000,工业,工业
2706.HK,海致科技集团,2026/02/12,232258,205872,26386,0,55023.00000000000000000000,3015.00000000000000000000,52008.0000000000000000,0,12976.2888000000000000000000000000000000000000,7052.5284000000000000000000000000000000000000,5923.7604000000000000000000000000000000000000,0,40,27,13,0,5065.0600000000000000,0.06000000000000000000,资讯科技业,信息技术
9981.HK,沃尔核材,2026/02/12,141463,132491,8972,0,165012.00000000000000000000,4015.00000000000000000000,160997.0000000000000000,0,31549.8691000000000000000000000000000000000000,22577.8691000000000000000000000000000000000000,8972,0,220,30,190,0,569.5800000000000000,0.33000000000000000000,工业,信息技术
0470.HK,先导智能,2026/02/10,57322,55943,1379,0,218803.00000000000000000000,5995.00000000000000000000,212808.0000000000000000,0,28578.5570000000000000000000000000000000000000,27199.5570000000000000000000000000000000000000,1379,0,1256,73,1183,0,79.5400000000000000,18.0000000000000000,工业,工业
0600.HK,爱芯元智,2026/02/09,85091,83513,1578,0,162453.00000000000000000000,5995.00000000000000000000,156458.0000000000000000,0,40332.0985000000000000000000000000000000000000,38754.0985000000000000000000000000000000000000,1578,0,829,47,782,0,104.8200000000000000,18.0000000000000000,资讯科技业,信息技术
2720.HK,乐欣户外,2026/02/09,111036,101646,9390,0,17475.00000000000000000000,3255.00000000000000000000,14220.0000000000000000,0,5919.2673000000000000000000000000000000000000,2783.0113000000000000000000000000000000000000,3136.256000000000000000000000000000000000,0,39,31,8,0,3654.2300000000000000,1.00000000000000000000,非必需性消费,非日常生活消费品
6809.HK,澜起科技,2026/02/06,260646,232844,27802,0,153060.00000000000000000000,1615.00000000000000000000,151445.0000000000000000,0,56750.4215000000000000000000000000000000000000,32942.6915000000000000000000000000000000000000,23807.730000000000000000000000000000000000,0,106,26,80,0,707.3000000000000000,5.0000000000000000,资讯科技业,信息技术
2677.HK,卓正医疗,2026/02/05,147844,140545,7299,0,20005.00000000000000000000,6855.00000000000000000000,13150.0000000000000000,0,9117.0663000000000000000000000000000000000000,4797.5713000000000000000000000000000000000000,4319.4950000000000000000000000000000000000000,0,39,34,5,0,2730.7300000000000000,1.00000000000000000000,医疗保健业,医疗保健
2714.HK,牧原股份,2026/02/05,21268,21187,81,0,238091.00000000000000000000,6115.00000000000000000000,231976.0000000000000000,0,21268.0000000000000000000000000000000000000000,21187.0000000000000000000000000000000000000000,81,0,26958,1972,24986,0,5.8800000000000000,100.0000000000000000,必需性消费,日常消费品
3200.HK,大族数控,2026/02/05,159985,146253,13732,0,120341.00000000000000000000,2115.00000000000000000000,118226.0000000000000000,0,39014.0992000000000000000000000000000000000000,25282.0992000000000000000000000000000000000000,13732,0,78,27,51,0,446.3900000000000000,10.0000000000000000,工业,信息技术
2768.HK,国恩科技,2026/02/03,171047,154503,16544,0,69085.00000000000000000000,3585.00000000000000000000,65500.0000000000000000,0,14476.7979000000000000000000000000000000000000,7424.2979000000000000000000000000000000000000,7052.500000000000000000000000000000000000,0,45,27,18,0,2251.8500000000000000,2.0000000000000000,原材料业,原材料
9980.HK,东鹏饮料,2026/02/02,66692,64575,2117,0,73060.00000000000000000000,915.00000000000000000000,72145.0000000000000000,0,20112.7746000000000000000000000000000000000000,17995.7746000000000000000000000000000000000000,2117,0,805,25,780,0,57.4600000000000000,15.0000000000000000,必需性消费,日常消费品
1768.HK,鸣鸣很忙,2026/01/27,229245,202454,26791,0,54166.00000000000000000000,915.00000000000000000000,53251.0000000000000000,0,14552.2822000000000000000000000000000000000000,7076.3885000000000000000000000000000000000000,7475.8937000000000000000000000000000000000000,0,40,24,16,0,1899.4900000000000000,3.0000000000000000,必需性消费,日常消费品
9611.HK,龙旗科技,2026/01/21,145096,134255,10841,0,121125.00000000000000000000,5995.00000000000000000000,115130.0000000000000000,0,29558.9440000000000000000000000000000000000000,18717.9440000000000000000000000000000000000000,10841,0,87,29,58,0,1149.7600000000000000,0.20000000000000000000,资讯科技业,信息技术
1641.HK,红星冷链,2026/01/12,103102,98005,5097,0,14581.00000000000000000000,3255.00000000000000000000,11326.0000000000000000,0,4664.1228000000000000000000000000000000000000,2372.2572000000000000000000000000000000000000,2291.865600000000000000000000000000000000,0,38,31,7,0,2309.2500000000000000,1.00000000000000000000,地产建筑业,工业
3986.HK,兆易创新,2026/01/12,148419,135727,12692,0,86573.00000000000000000000,1215.00000000000000000000,85358.0000000000000000,0,25841.5078000000000000000000000000000000000000,14448.6078000000000000000000000000000000000000,11392.900000000000000000000000000000000000,0,71,25,46,0,542.2200000000000000,2.0000000000000000,资讯科技业,信息技术
8610.HK,BBSB INTL,2026/01/12,145089,138549,6540,0,15555.00000000000000000000,9930.00000000000000000000,5625.0000000000000000,0,3390.6125000000000000000000000000000000000000,1417.0500000000000000000000000000000000000000,1973.5625000000000000000000000000000000000000,0,37,35,2,0,10745.130000000000,0.05000000000000000000,地产建筑业,工业
