code,name,listing_date,industry,issue_price,d1_open_ret,d1_close_ret,d1_intraday_ret,d1_amplitude,d5_close_ret,d20_close_ret,d60_close_ret,max_5_ret,min_5_ret,max_20_ret,min_20_ret,max_60_ret,min_60_ret,d1_amount,d1_volume,quote_days,label_strong_open,label_deep_v,label_broken,label_pop_then_fade,label_tradeable_20d,path_label,rule_recommendation,model_score_tradeable_20d,model_recommendation
2637.HK,海西新药,2025-10-20,Unknown,,0.0,0.0215686274509803,0.0215686274509803,0.1779999999999999,0.0735294117647058,0.3215686274509806,0.5284312745098039,0.1549019607843136,-0.0441176470588234,0.4411764705882353,-0.0441176470588234,0.5529411764705883,-0.0441176470588234,271836315.0,2398750.0,82,False,False,False,False,True,moderate_tradeable,Add to first-month secondary trading pool,0.6319607843137254,Medium priority: wait for first-day turnover confirmation
6687.HK,聚水潭,2025-10-21,Unknown,,0.0,-0.0026315789473684,-0.0026315789473684,0.1561253561253559,-0.0799999999999999,-0.2826315789473683,-0.2463157894736841,0.0978947368421052,-0.1684210526315789,0.0978947368421052,-0.2947368421052632,0.0978947368421052,-0.368421052631579,1440502420.0,37490701.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.2003157894736841,Avoid unless fundamentals beat materially
6980.HK,八马茶业,2025-10-28,Unknown,,0.0,0.1654182272159801,0.1654182272159801,0.2237500000000001,-0.0137328339575529,-0.3058676654182272,-0.6104868913857677,0.4357053682896381,-0.0873907615480649,0.4357053682896381,-0.3855181023720349,0.4357053682896381,-0.6429463171036205,355297541.0,4215100.0,80,True,False,True,True,False,strong_open,Avoid chasing first day; wait for turnover stabilization,0.4738951310861426,Low priority: watchlist or trial position only
6166.HK,剑桥科技,2025-10-28,Unknown,,0.0,-0.0191489361702127,-0.0191489361702127,0.2084257206208426,-0.1851063829787235,-0.1898936170212765,-0.1452127659574469,0.1595744680851063,-0.1867021276595744,0.1595744680851063,-0.2388297872340425,0.1595744680851063,-0.2388297872340425,2793073085.0,28849222.0,80,False,False,True,True,False,pop_then_fade,Avoid chasing first day; wait for turnover stabilization,0.2632446808510639,Avoid unless fundamentals beat materially
1384.HK,滴普科技,2025-10-28,Unknown,,0.0,0.1823008849557521,0.1823008849557521,0.3128598848368522,0.8407079646017699,0.3893805309734512,0.3654867256637168,1.2690265486725665,-0.0778761061946902,1.2690265486725665,-0.0778761061946902,1.2690265486725665,-0.0778761061946902,612478718.0,11698160.0,80,True,False,False,False,True,strong_open,Add to first-month secondary trading pool,0.7958407079646017,High priority: prepare IPO/anchor/secondary plan
6031.HK,三一重工,2025-10-28,Unknown,,0.0,0.028169014084507,0.028169014084507,0.0469483568075117,0.0544600938967136,0.0112676056338028,0.2046948356807512,0.1624413145539907,0.0,0.1624413145539907,0.0,0.208450704225352,-0.0375586854460093,2991670110.0,138330321.0,80,False,False,False,False,True,moderate_tradeable,Watch only or small trial position,0.47,Low priority: watchlist or trial position only
2718.HK,明略科技－Ｗ,2025-11-03,Unknown,,0.0,0.0378571785714285,0.0378571785714285,0.138970588235294,-0.2571428571428571,-0.2792857142857142,-0.1228571071428571,0.1064285714285715,-0.3021428571428571,0.1064285714285715,-0.3978571428571429,0.1064285714285715,-0.3978571428571429,636695051.0,2156929.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.1656428857142856,Avoid unless fundamentals beat materially
2630.HK,旺山旺水－Ｂ,2025-11-06,Unknown,,0.0,-0.1368421052631578,-0.1368421052631578,0.1865443425076451,-0.4436842105263158,-0.1999999999999999,0.0210526315789474,0.0210526315789474,-0.4631578947368421,0.0210526315789474,-0.4631578947368421,0.1957894736842105,-0.4631578947368421,486173710.0,5534414.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.05,Avoid unless fundamentals beat materially
2026.HK,小马智行－Ｗ,2025-11-06,Unknown,,0.0,0.0169354838709676,0.0169354838709676,0.0614478114478114,-0.0935483870967741,-0.1120967741935484,-0.154032258064516,0.0169354838709676,-0.1370967741935483,0.0169354838709676,-0.3096774193548387,0.1040322580645161,-0.3096774193548387,1056877658.0,8679020.0,81,False,False,True,False,False,persistent_break,Avoid chasing first day; wait for turnover stabilization,0.1569354838709675,Avoid unless fundamentals beat materially
2698.HK,乐舒适,2025-11-10,Unknown,,0.0,-0.0566037735849055,-0.0566037735849055,0.115151515151515,-0.1177815894797026,-0.1435105774728415,-0.0994854202401371,0.0520297312750142,-0.1280731846769581,0.0520297312750142,-0.1875357347055458,0.0520297312750142,-0.1875357347055458,1487088212.0,42610340.0,81,False,False,True,False,False,persistent_break,Watch only or small trial position,0.204659805603202,Avoid unless fundamentals beat materially
