institution,code,name,listing_date,issue_price_or_score,industry_level_1,industry_level_2,source_table
农银国际融资有限公司,2559.HK,嘀嗒出行,2024-06-28,-22.5,公共运输,应用软件,账簿管理人
农银国际融资有限公司,2551.HK,晶科电子股份,2024-11-08,47.64542936288089,电子零件,半导体产品,账簿管理人
农银国际融资有限公司,2546.HK,智汇矿业,2025-12-19,90.68736141906874,其他金属及矿物,多种金属与采矿,账簿管理人
农银国际融资有限公司,2545.HK,中赣通信,2024-07-03,-46.4,卫星及无线通讯,综合电信业务,账簿管理人
农银国际融资有限公司,2543.HK,大行科工,2025-09-09,14.94949494949495,玩具及消闲用品,休闲用品,账簿管理人
农银国际融资有限公司,2540.HK,乐思集团,2024-03-08,36.36363636363636,广告及宣传,广告,账簿管理人
农银国际融资有限公司,2539.HK,乐摩科技,2025-12-03,36.25,消闲及文娱设施,家用器具与特殊消费品,账簿管理人
农银国际融资有限公司,2529.HK,泓盈城市服务,2024-05-17,0.3125,物业服务及管理,房地产经营公司,账簿管理人
农银国际融资有限公司,2526.HK,德适-B,2026-03-30,111.71717171717172,医疗设备及用品,医疗保健设备,账簿管理人
农银国际融资有限公司,2525.HK,禾赛-W,2025-09-16,9.96240601503759,数码解决方案服务,电子设备和仪器,账簿管理人
农银国际融资有限公司,2522.HK,一脉阳光,2024-06-07,0.13351134846462,医疗及医学美容服务,医疗保健技术,账簿管理人
农银国际融资有限公司,2515.HK,天津建发,2024-04-23,-39.2,重型基建,建筑与工程,账簿管理人
农银国际融资有限公司,2507.HK,西锐,2024-07-12,0.0,航空航天与国防,航天航空与国防,账簿管理人
农银国际融资有限公司,2506.HK,讯飞医疗科技,2024-12-30,5.07246376811594,医疗及医学美容服务,医疗保健技术,账簿管理人
农银国际融资有限公司,2505.HK,EDA集团控股,2024-05-28,84.21052631578947,采购及供应链管理,海港与服务,账簿管理人
农银国际融资有限公司,2498.HK,速腾聚创,2024-01-05,0.0,数码解决方案服务,电子设备和仪器,账簿管理人
农银国际融资有限公司,2497.HK,富景中国控股,2024-03-28,37.03703703703704,农产品,农产品与服务,账簿管理人
农银国际融资有限公司,2495.HK,声通科技,2024-07-10,-11.242603550295856,数码解决方案服务,互联网服务和基础设施,账簿管理人
农银国际融资有限公司,2479.HK,天聚地合,2024-06-28,-27.81711268450738,数码解决方案服务,信息科技咨询与其它服务,账簿管理人
农银国际融资有限公司,2476.HK,胜宏科技,2026-04-21,50.085763293310464,电子零件,电子设备和仪器,账簿管理人
农银国际融资有限公司,2465.HK,龙蟠科技,2024-10-30,-13.636363636363637,能源储存装置,电子元件,账簿管理人
农银国际融资有限公司,2460.HK,华润饮料,2024-10-23,15.03448275862069,非酒精饮料,软饮料与不含酒精饮料,账簿管理人
农银国际融资有限公司,2453.HK,美中嘉和,2024-01-09,-22.408963585434172,医疗及医学美容服务,医疗保健技术,账簿管理人
农银国际融资有限公司,2443.HK,汽车街,2024-05-31,26.86274509803922,其他支援服务,汽车零售,账簿管理人
农银国际融资有限公司,2432.HK,越疆,2024-12-23,0.7446808510638298,数码解决方案服务,电子制造服务,账簿管理人
农银国际融资有限公司,2431.HK,佑驾创新,2024-12-27,14.11764705882353,数码解决方案服务,汽车零件与设备,账簿管理人
农银国际融资有限公司,2408.HK,遇见小面,2025-12-05,-27.840909090909086,餐饮,餐馆,账簿管理人
农银国际融资有限公司,2228.HK,晶泰控股,2024-06-13,9.848484848484848,生物技术,工业机械和用品及零部件,账簿管理人
农银国际融资有限公司,2050.HK,三花智控,2025-06-23,-0.133155792276964,工业零件及器材,家用电器,账簿管理人
农银国际融资有限公司,1641.HK,红星冷链,2026-01-13,0.3262642740619902,地产投资,综合支持服务,账簿管理人
农银国际融资有限公司,1364.HK,古茗,2025-02-12,-6.438631790744466,非酒精饮料,多品类零售,账簿管理人
农银国际融资有限公司,1354.HK,经发物业,2024-07-03,-11.466666666666667,物业服务及管理,房地产经营公司,账簿管理人
农银国际融资有限公司,1318.HK,毛戈平,2024-12-10,76.51006711409396,护肤与化妆品,个人护理用品,账簿管理人
农银国际融资有限公司,0999.HK,小菜园,2024-12-20,13.64705882352941,餐饮,餐馆,账簿管理人
农银国际融资有限公司,0917.HK,趣致集团,2024-05-27,40.0,广告及宣传,信息科技咨询与其它服务,账簿管理人
农银国际融资有限公司,0800.HK,文远知行-W,2025-11-06,-9.96309963099631,数码解决方案服务,应用软件,账簿管理人
农银国际融资有限公司,0699.HK,均胜电子,2025-11-06,-8.0,汽车零件,汽车零件与设备,账簿管理人
农银国际融资有限公司,0664.HK,铜师傅,2026-03-31,-49.166666666666664,玩具及消闲用品,多品类零售,账簿管理人
农银国际融资有限公司,0638.HK,广和通,2025-10-22,-11.72093023255814,电子零件,通信设备,账簿管理人
农银国际融资有限公司,0470.HK,先导智能,2026-02-11,0.0,工业零件及器材,重型电气设备,账簿管理人
农银国际融资有限公司,0068.HK,群核科技,2026-04-17,144.09448818897638,应用软件,应用软件,账簿管理人
