code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
9887.HK,维立志博-B,2025-07-25,2025-07-22,339838990000,112190000,3633.6845,超购于3028.0704倍,HKD,孖展数据
1304.HK,FORTIOR,2025-07-09,2025-07-04,21541080000,196420000,126.0586,超购于108.6712倍,HKD,孖展数据
2651.HK,大众口腔,2025-07-09,2025-07-04,2010520000,23240000,111.1419,超购于85.4937倍,HKD,孖展数据
2597.HK,讯众通信,2025-07-09,2025-07-04,476680000,46120000,13.5377,超购于9.3364倍,HKD,孖展数据
2590.HK,极智嘉-W,2025-07-09,2025-07-04,26606310000,235790000,129.7306,超购于111.8367倍,HKD,孖展数据
6613.HK,蓝思科技,2025-07-09,2025-07-04,220789830000,524460000,487.179,超购于419.9819倍,HKD,孖展数据
1828.HK,富卫集团,2025-07-07,2025-07-02,8413460000,347100000,28.3516,超购于23.2390倍,HKD,孖展数据
2648.HK,安井食品,2025-07-04,2025-06-30,9121190000,263970000,41.6073,超购于33.5542倍,HKD,孖展数据
2592.HK,拨康视云-B,2025-07-03,2025-06-27,3627750000,61190000,75.7715,超购于58.2858倍,HKD,孖展数据
6603.HK,IFBH,2025-06-30,2025-06-25,259482810000,115840000,2910.7879,超购于2239.0676倍,HKD,孖展数据
9678.HK,云知声,2025-06-30,2025-06-25,1816060000,32000000,72.4762,超购于55.7509倍,HKD,孖展数据
3880.HK,泰德医药,2025-06-30,2025-06-25,12594960000,51410000,317.2,超购于244.0000倍,HKD,孖展数据
6168.HK,周六福,2025-06-26,2025-06-23,66832770000,112340000,772.0952,超购于593.9194倍,HKD,孖展数据
2508.HK,圣贝拉集团,2025-06-26,2025-06-23,9608470000,62790000,197.6446,超购于152.0343倍,HKD,孖展数据
6883.HK,颖通控股,2025-06-26,2025-06-23,3425940000,112690000,35.87,超购于29.4016倍,HKD,孖展数据
2619.HK,香江电器,2025-06-25,2025-06-20,15339120000,22850000,871.2438,超购于670.1875倍,HKD,孖展数据
