p05309_f001,p05309_f002,p05309_f003,p05309_f016,p05309_f004,p05309_f017,p05309_f005,p05309_f018,p05309_f006,p05309_f019,p05309_f009,p05309_f008,p05309_f011,p05309_f014,p05309_f010,p05309_f015,p05309_f012,p05309_f013
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,上海高毅及CICC Financial Trading Limited,"CICC Financial Trading Limited(‘CICC FT’)为中国国际金融股份有限公司的间接全资子公司,后者的股份在上海证券交易所(证券代码:601995)及联交所(股份代号:3908)上市。CICC FT及中国国际金融股份有限公司(‘中金公司’)彼此之间将并将与最终客户(‘CICC FT最终客户(高毅)’)订立一系列跨境delta-one场外股权掉期交易(统称‘高毅场外掉期’),据此,CICC FT将按非全权委托的方式持有发售股份,以对冲高毅场外掉期,同时将相关发售股份的经济风险及回报转移至CICC FT最终客户(高毅),但须支付惯常费用及佣金。高毅场外掉期将由CICC FT最终客户(高毅)全额出资。于高毅场外掉期的期限内,CICC FT认购的发售股份的所有经济回报将通过高毅场外掉期转移至CICC FT最终客户(高毅),且所有经济损失将由CICC FT最终客户(高毅)承担,而CICC FT将不参与发售股份相关的任何经济回报,亦不承担任何经济损失。高毅场外掉期与发售股份的表现挂钩,CICC FT最终客户(高毅)可于CICC FT与本公司订立基石协议当日起至上市日期起计满六个月当日止的禁售期届满后,自行决定要求提早终止高毅场外掉期,届时CICC FT可根据高毅场外掉期的条款及条件处置发售股份并以现金结算高毅场外掉期。尽管CICC FT将自行持有发售股份的合法所有权,但根据其内部政策,其将不会在高毅场外掉期的期限内行使相关发售股份所附带的投票权。据CICC FT经作出一切合理查询后所深知,各CICC FT最终客户(高毅)均为独立于CICC FT、中国国际金融香港证券有限公司(‘中金香港证券’)及中金香港证券同一集团成员公司的第三方,且概无单一最终实益拥有人持有各CICC FT最终客户(高毅)30%或以上的权益。CICC FT最终客户(高毅)为上海高毅资产管理合伙企业(有限合伙)(‘上海高毅’)管理的投资基金。上海高毅为一家在中国成立的有限合伙企业,从事资产管理及投资管理,主要专注于二级市场投资。上海高毅管理的若干投资基金就于紫金黄金国际有限公司(股份代号:2259.HK)、南京维立志博生物科技股份有限公司(股份代号:9887.HK)及宁德时代新能源科技股份有限公司(股份代号:3750.HK)的基石投资订立delta-one场外掉期交易,并承担所有经济回报及损失。上海高毅持有中国证券投资基金业协会认可的私募投资基金管理人资格。上海高毅的管理合伙人为上海高毅投资管理有限公司(‘高毅投资’)。据上海高毅确认,概无单一最终实益拥有人持有CICC FT最终客户(高毅)30%或以上的权益。上海高毅及CICC FT最终客户(高毅)各自为独立第三方。",,,1230500,95609850.0000,HKD,2.1000,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,UBS Asset Management (Singapore) Ltd.,"UBS Asset Management (Singapore) Ltd.(‘UBS AM Singapore’)为一家于1993年12月在新加坡注册成立的公司,其已为及代表以下基金以投资管理人的身份与本公司及联席保荐人订立基石投资协议:(i) UBS (Lux) Equity Fund – Greater China (USD);(ii) UBS (Lux) Equity Fund – China Opportunity (USD);(iii) UBS (HK) Fund Series – China Opportunity Equity (USD);(iv) UBS (Lux) Equity SICAV – All China (USD);(v) UBS (CAY) China A Opportunity;及(vi) Eskom Pension and Provident Fund。",UBS Group AG,UBS Group AG为一家根据瑞士法律组建并向投资者发行普通股的公司。UBS Group AG的股份于瑞士证券交易所(证券代码:UBSG)及纽约证券交易所(证券代码:UBS)上市。,1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,艾唯技术有限公司,艾唯技术有限公司为上海艾为电子技术股份有限公司(一家在上海证券交易所科创板上市的公司(证券代码:688798))(‘艾为’)在香港成立的全资子公司。,上海艾为电子技术股份有限公司,"上海艾为电子技术股份有限公司(一家在上海证券交易所科创板上市的公司(证券代码:688798))(‘艾为’),艾为作为中国混合信号集成电路行业的领军企业,专注于高性能混合信号、电源管理及信号链集成电路设计。艾为提供涵盖40多个产品类别近2,000款型号产品,产品性能及质量均位居行业前列。艾为的产品广泛应用于消费电子、工业互联及汽车市场,包括智能手机、平板电脑、笔记本电脑、智能穿戴设备、智能音箱、智能家电、移动支付设备、物联网、人工智能教育、智能玩具、服务器、新能源、机器人、无人机、安防、汽车电子等领域。",1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,宏兴国际科技有限公司,宏兴国际科技有限公司(‘宏兴国际’)将根据基石投资协议认购及持有相关数目的发售股份。宏兴国际为一家根据香港法例成立的有限公司。,胜宏科技(惠州)股份有限公司,"宏兴国际为一家根据香港法例成立的有限公司,由胜宏科技(惠州)股份有限公司(‘胜宏’)全资拥有,该公司根据中国法律成立,其A股在深圳证券交易所创业板上市(证券代码:300476)。",1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,北京君正集成电路(香港)集团有限公司,"北京君正集成电路(香港)集团有限公司(‘香港君正’)于2006年8月在中国香港注册成立,为北京君正集成电路股份有限公司(‘北京君正’,股票代码:300223)的全资子公司。",北京君正集成电路股份有限公司,"北京君正集成电路股份有限公司(‘北京君正’,股票代码:300223),北京君正是一家全球领先的‘存储+计算+模拟’芯片提供商,专注于高可靠性存储芯片、高性能低功耗计算芯片及多品类模拟芯片的研发、设计与销售,产品广泛应用于汽车电子、工业及医疗、AIoT及智能安防等领域。北京君正于2011年5月在深圳证券交易所创业板上市。",1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,光大理财有限责任公司,"光大理财有限责任公司(‘光大理财’)为中国光大银行股份有限公司的全资子公司。光大理财成立于2019年9月,注册资本为人民币50亿元。光大理财的经营范围包括:面向不特定社会公众公开发行理财产品,对受托的投资者财产进行投资和管理,面向合格投资者非公开发行理财产品,对受托的投资者财产进行投资和管理,理财顾问和咨询服务,经银保监会批准的其他业务(金融许可证有效期以许可证为准)。",中国光大银行股份有限公司,中国光大银行股份有限公司为上海证券交易所上市公司(股票代码:601818)及香港联合交易所上市公司(股票代码:6818)。,1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,New China Asset Management (Hong Kong) Limited,"New China Asset Management (Hong Kong) Limited(‘New China Asset Management’)以其投资管理人身份,作为其全权委托账户新华人寿传统保险账户(最终实益拥有人为新华人寿保险股份有限公司)的代理人行事,已同意认购本公司H股。New China Asset Management是一家在香港注册成立的有限责任公司。根据证券及期货条例(第571章),New China Asset Management已获证监会发牌可从事第4类(就证券提供意见)及第9类(提供资产管理)受规管活动。New China Asset Management主要专注于权益类证券、固定收益证券投资,以及各类基础投资基金的投资业务。",新华人寿保险股份有限公司,New China Asset Management由新华人寿保险股份有限公司(一家于香港联交所(股份代号:1336.HK)及上海证券交易所(股份代号:601336.SH)双重上市的公司)直接及间接持股99.6%。,1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,"Ivyrock China Focus Master Fund、IvyRock China Equity Master Fund及ABS Direct Equity Fund LLC, Asia Series 6","常春藤为若干混合基金及机构独立管理账户(统称为‘常春藤基金’)的全权委托投资管理人。常春藤通过Ivyrock China Focus Master Fund、IvyRock China Equity Master Fund及ABS Direct Equity Fund LLC, Asia Series 6认购发售股份。",黄勇,,1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,Green Better Limited,Green Better Limited(‘Green Better’)为一家在英属维尔京群岛注册成立的投资公司。,小米集团,"Green Better为小米集团(一家在联交所上市的公司(股份代号:1810))的全资子公司。小米集团为一家投资控股公司,主要从事智能手机、物联网及生活消费产品的研究、开发及销售、提供互联网服务、智能电动汽车开发、制造与销售,以及在中国及其他国家或地区开展投资业务。",1008600,78368220.0000,HKD,1.7200,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,Perseverance Asset Management International (Singapore) Pte. Ltd.,Perseverance Asset Management International (Singapore) Pte. Ltd.(‘Perseverance Asset Management’)按全权委托的方式担任不超过六只投资基金及╱或六个独立管理账户(统称‘Perseverance Funds’)的投资顾问或投资管理人。Perseverance Asset Management为一家于2018年10月在新加坡注册成立的私人有限公司，持有新加坡金融管理局颁发的基金管理资本市场服务牌照。,Perseverance Asset Management International,"Perseverance Asset Management由Perseverance Asset Management International全资拥有,后者主要从事投资管理及投资顾问服务,且为独立第三方。",786700,61126590.0000,HKD,1.3400,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
3296.HK,华勤技术,2026/04/23,2026/04/15,2026/04/22,是,JinYi Capital Multi-Strategy Fund SPC Ltd.,"JinYi Capital Multi-Strategy Fund SPC Ltd.(‘JinYi Capital’)为一家根据开曼群岛《公司法》注册成立的独立投资组合公司,并为一家在开曼群岛注册成立的获豁免有限公司。",范响,,201700,15672090.0000,HKD,0.3400,6,2026/10/23,消费性电讯设备,互联网服务和基础设施
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Janchor Partners Pan-Asian Master Fund,Janchor Partners Pan-Asian Master Fund(‘Janchor Fund’)乃于开曼群岛成立的全权委托投资基金。Janchor Partners Limited(‘Janchor Partners’)为Janchor Fund的投资管理人。,Janchor Partners Limited,"Janchor Partners于2009年成立,是一家长期实业投资机构,与拥有卓越业务模式、良好增长前景以及有潜力构成亚洲国家及经济体长期正向结构动力一部分的公司开展合作。",2800700,587830500.0000,HKD,2.9200,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,CPE Rosewood Investment Limited,"CPE Rosewood Investment Limited(‘CPE Rosewood’)为一家根据英属维尔京群岛法律注册成立的商业公司,其主要业务活动为投资控股。",CPE Management International II Limited,"CPE GOF GP Limited由CPE Management International Limited直接全资拥有,而后者由CPE Management International II Limited全资拥有,这两家公司均为于开曼群岛注册成立的有限责任公司。",2800700,587830500.0000,HKD,2.9200,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,"Deliante Holdings Co., Ltd.","Deliante Holdings Co., Ltd.(‘Deliante’)为一家于2020年8月6日在英属维尔京群岛注册成立的有限责任公司。其为一家投资控股公司,用以持有由蔡衍明先生(‘蔡先生’)作为委托人为其本人及其家庭成员的利益而设立之家族信托所拥有的金融资产(例如股票及债券)。",蔡衍明,"蔡先生为旺旺集团董事会主席,该集团主要于中国内地从事食品及饮料行业。",1979200,415400220.0000,HKD,2.0600,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,香港麦逊电子有限公司,香港麦逊电子有限公司(‘香港麦逊’)为一家于2021年根据香港法律注册成立的有限公司。该公司主要从事于PCB检测设备及相关组件销售。,深圳大族数控科技股份有限公司,"香港麦逊为深圳大族数控科技股份有限公司(‘大族数控’,一家于深圳证券交易所(股票代码:301200)及香港联交所(股份代号:3200)上市的公司)的一家全资附属公司。大族数控专注于AI计算场景,并与行业的领先客户保持深厚的合作关系。其主要业务包括PCB及先进封装专用设备的研发、生产和销售,涵盖压合、钻孔、光刻、成型及检测等关键生产工序。大族数控为不同小众场景的客户提供差异化的一站式流程解决方案,是全球专用PCB设备的最大供应商。",1867100,391887000.0000,HKD,1.9500,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,New Alternative Limited,"New Alternative Limited(‘New Alternative’)是在英属维尔京群岛注册成立的有限责任公司,由Yunfeng Capital Limited全资拥有。",虞锋,,1493700,313509600.0000,HKD,1.5600,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Morgan Stanley & Co. International plc,Morgan Stanley & Co. International plc(‘MSIP’)为一家于英国注册成立之公司。,摩根士丹利,"摩根士丹利连同其子公司构成‘摩根士丹利集团’。摩根士丹利乃一间全球金融服务公司,获美国联邦储备系统理事会授权为金融控股公司,并受其监管。摩根士丹利集团于金融服务行业经营业务,并受到严格监管及规管。摩根士丹利集团之主要业务为向由企业、政府及金融机构组成的全球客户群体提供金融服务。金融服务包括投资银行、销售及交易,以及其他客户服务。MSIP以主事人身份进行交易。",1307000,274320900.0000,HKD,1.3600,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,阳光人寿保险股份有限公司,"阳光人寿是于2007年12月17日在中华人民共和国成立的股份制公司,主要从事各类保险及证券投资业务。",阳光保险集团股份有限公司,一家于联交所上市的公司(股份代号:6963)且概无股东持有其30%或以上股权。,1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Foresight Global Superior Choice SPC — Global Superior Choice Fund 1 SP、Foresight Global Superior Choice SPC — Vision Fund 1 SP及Foresight Global Superior Choice SPC — Horizon Fund 1 SP,"Foresight Global Superior Choice SPC — Global Superior Choice Fund 1 SP(‘GSFund 1’)、Foresight Global Superior Choice SPC — Vision Fund 1 SP(‘Vision Fund1’)及Foresight Global Superior Choice SPC — Horizon Fund 1 SP(‘Horizon Fund1’,统称‘有关基金’)均为Foresight Global Superior Choice SPC(于2016年10月17日在开曼群岛注册成立)的子基金。有关基金目前由睿远基金(香港)有限公司(‘香港睿远’)全权管理,而香港睿远为睿远基金管理有限公司的全资附属公司。",陈光明,,1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Tanwan Inc.,"Tanwan Inc.(‘Tanwan’)为一家于开曼群岛注册成立的公司,并于联交所主板上市(股份代号:9890.HK)。Tanwan从事中国及海外市场的线上游戏业务,涵盖游戏发行、运营及开发。受AI技术推动,Tanwan致力为用户创造娱乐体验,并为游戏开发商提供高品质服务。Tanwan秉持‘AI+游戏’的长期核心策略,深化AI技术与其游戏生态系统的融合。Tanwan以IP产品的全球发行及运营为核心业务策略,凭藉精准营销及长周期运营能力,以最大化其游戏产品的价值。",,,1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,"HACF, L.P.","HHLRA基金之一(即全权委托基金HACF, L.P.)。","HHLR Advisors, Ltd.","HHLR Advisors, Ltd.(‘HHLRA’)为一家于开曼群岛注册成立的获豁免公司,担任若干投资基金(统称‘HHLRA基金’)的投资管理人,而该等基金为根据开曼群岛法律组成的有限合伙企业。HHLRA与业界具标志性的企业合作,旨在与工业、消费品、医疗保健及商业服务行业内可持续发展且具前瞻性的公司建立一致目标。HHLRA为全球机构管理资本,包括非牟利基金会、捐赠基金及退休金计划。",1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Tropical Terrain Limited,"Tropical Terrain Limited为一家根据英属维尔京群岛法律注册成立的有限公司,为Boyu Capital Opportunities Master Fund的受控附属公司。",童小幪,,1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Pinpoint Asset Management Limited,"Pinpoint Asset Management Limited(‘Pinpoint’)为其所管理基金的投资顾问,该等基金仅包括在开曼群岛注册成立的豁免公司(即Pinpoint China Fund及Pinpoint Multi-Strategy Master Fund,两者均为全权委托投资基金)。Pinpoint为一家于2010年6月4日在香港注册成立的有限责任公司,是一间独立的投资研究及管理公司,为机构投资者、退休基金、私人银行、基金中的基金、家族办公室及高净值人士提供主动式资产管理服务。Pinpoint获证监会发牌从事资产管理业务(《证券及期货条例》所界定的第9类受规管活动)。",王强,,1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,涌容(香港)资产管理有限公司,"涌容(香港)资产管理有限公司(‘涌容资产管理’)为一家于2012年成立的资产管理公司,并获发牌从事《证券及期货条例》项下第9类(资产管理)受规管活动。涌容资产管理目前以全权代表其多支子对冲基金(即Yong Rong Global Excellence Fund、Double AI Fund及Everfund)进行管理,该等基金于开曼群岛成立并受开曼群岛金融管理局监管。",黄勇,,1120300,235132200.0000,HKD,1.1700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,惠州市惠联投资合伙企业(有限合伙),惠州市惠联投资合伙企业(有限合伙)(‘惠州惠联’)为一家于2025年12月19日根据中华人民共和国法律成立的有限合伙企业。,惠州市惠城区国有资产监督管理局,,1073500,225335025.0000,HKD,1.1200,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Greenwoods Asset Management Hong Kong Limited,"Greenwoods Asset Management Hong Kong Limited(‘HK Greenwoods’)为一家在香港注册成立的私募基金管理有限公司。HK Greenwoods成立于2005年,为中国规模最大、成立时间最早的资产管理公司之一,主要专注于投资大中华地区企业。HK Greenwoods侧重于理论研究、价值投资及本地尽职调查。由HKGreenwoods管理的基金及账户投资者包括机构投资者及高净值个人专业投资者。",蒋锦志,,933500,195943500.0000,HKD,0.9700,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,SR Wealth Securities Limited,"SR Wealth Securities Limited(‘SR Wealth’)于2015年成立,为香港证券及期货事务监察委员会发牌的中介人。SR Wealth持牌从事第1类(证券交易)、第2类(期货合约交易)、第4类(就证券提供意见)及第9类(资产管理)受规管活动,CE号码为BHF761。SR Wealth致力于向金融机构、高净值人士及专业投资者提供全面的投资及资产管理服务,协助客人在复杂的市场环境中作出审慎决定,以实现稳定财富管理及资本增值。SR Wealth作为投资管理人,以全权委托方式为及代表零售客户和专业投资者(即施安东、钟孝存及郑俊杰),且除施安东外,概无其他最终实益拥有人持有30%或以上的权益)行事,其由独立第三方洪婉玲女士最终拥有。",洪婉玲,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Cloudview Capital Limited,"Cloudview Capital Limited(‘Cloudview’)为一家于2014年6月24日在开曼群岛注册成立的私人公司(前称RT Capital Investment Management LLC),并作为一家投资控股公司经营业务。Cloudview专注于半导体、新能源及先进制造等领域的投资,并参与投资及资本市场交易。",陈劲松,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Golden K2 Falcon Open-ended Fund Company-Golden K2 Falcon 2 Investment Fund,"Golden K2 Falcon Open-ended Fund Company(‘Golden K2 Falcon’)- Golden K2 Falcon 2 Investment Fund是Golden K2 Falcon的独立子基金,是根据《证券及期货条例》在香港注册成立,有限责任及可变资本的开放式基金公司。",王振军、钱喆及刘淼,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Infore Funds Series 1 Open-ended Fund Company – Infore Global Equity Fund,"Infore Funds Series 1 Open-ended Fund Company – Infore Global Equity Fund（‘子基金’）是Infore Funds Series 1 Open-ended Fund Company的子基金。子基金的投资目标是通过主要投资于在中华人民共和国注册或成立,或主要营业地点位于中华人民共和国,或业务营运或收入主要来自(或预期主要来自)中华人民共和国的公司之证券(包括首次公开发售),以实现资本增值。",何剑锋,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Metazone Link (HK) Limited,Metazone Link (HK) Limited(‘Metazone’)为TCL实业控股股份有限公司的全资附属公司。,李东,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,"MY Asian Opportunities Master Fund, L.P.","MY Asian Opportunities Master Fund, L.P.(‘MY Asian’)为一家于开曼群岛成立的基金,由MY.Alpha Management HK Advisors Limited(‘MY.Alpha’)管理,该公司为一家对冲基金管理公司,并已获证监会发出第4类(就证券提供意见)及第9类(资产管理)牌照。",Masahiko Yamaguchi,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,New Golden Future Limited,"New Golden Future Limited为一家于英属维尔京群岛注册成立的有限责任公司,由Yunfeng Capital全资拥有。",虞锋,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Ovata Capital Management Limited,"Ovata Capital Management Limited(‘Ovata Capital’)于香港注册成立,获证监会发牌进行第9类资产管理业务。Ovata Capital为全球投资者执行多项上市证券策略。",James Chen,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Ruihua (International) Investment Limited,"Ruihua (International) Investment Limited(‘Ruihua Investment’)为于英属维尔京群岛注册成立的有限公司,主要从事于全球市场股权投资活动。",张建斌,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,信银(香港)投资有限公司,"信银(香港)投资有限公司(‘信银投资’)于1984年在香港注册成立,为中信银行股份有限公司(‘中信银行’)的全资附属公司,注册股本为18.7亿港元。信银投资持有香港放债人牌照。其主要业务范围包括贷款业务及各类投资活动,包括但不限于债券、基金、股票及长期股权投资。信银投资通过旗下附属公司涉足多个行业,包括海外持牌投资银行业务及境内股权投资基金管理业务。作为中信银行的核心海外投资银行平台,信银投资致力于深化在核心持牌业务的布局,努力构建专业化、系统化的竞争业务能力,并建立产品覆盖全面的投资银行服务体系。截至2025年报告期末,信银投资的总资产为58.41亿美元,较上年末增长11.95%;母公司应占净资产达824百万美元,较上年末增长6.89%,呈现稳健、有力的营运发展态势。",中信银行股份有限公司,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,博时基金(国际)有限公司,"博时基金(国际)有限公司(‘博时国际’)于2010年在香港注册成立,并持有第1类(证券交易)、第4类(就证券提供意见)及第9类(资产管理)证监会发牌。",招商证券股份有限公司,一家于联交所(股份代号:6099)及上海证券交易所(股份代号:600999)上市的公司。,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,叶国富,叶国富先生是名创优品集团的主席兼首席执行官。,,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,天弘基金管理有限公司,"天弘基金管理有限公司(‘天弘基金’)成立于2004年11月8日,是经中国证监会批准成立的全国性共同基金管理公司之一,现时注册资本为人民币514.3百万元。秉承‘稳健理财,值得信赖’的经营理念,天弘基金自成立起逾21年来不断创新进取,获得市场广泛认可。2013年,天弘基金与支付宝合作推出余额宝,并担任天弘余额宝货币市场基金的基金经理。近年来,天弘基金的管理资产规模快速增长。天弘基金以基金经理身份代表其所管理的共同基金(即天弘全球高端制造混合型证券投资基金和天弘全球新能源汽车股票型证券投资基金,两者均为全权委托基金)行事,且概无任何单一最终实益拥有人持有该等基金30%或以上权益。",蚂蚁科技集团股份有限公司,,746800,156754800.0000,HKD,0.7800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,奇点资产管理有限公司,"奇点资产管理有限公司(‘奇点资产’)于2014年成立,现为全球领先对冲基金管理公司,专注于科技投资。奇点资产总部位于香港,团队分布于深圳、上海、台北、新竹及东京。奇点资产当前管理多空对冲基金,管理资产总额为约20亿美元。",杨晋、王彦康及闫沛德,,560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Wind Sabre Fund SPC,Wind Sabre Fund SPC为一家于开曼群岛注册成立的有限责任独立投资组合公司。,Wind Sabre Capital Limited,"Wind Sabre Capital Limited为一家于香港注册成立的公司,并已获证监会发牌可在香港进行《证券及期货条例》项下第9类(资产管理)受规管活动。",560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,Jump Trading Pacific Pte. Ltd.,Jump Trading Pacific Pte. Ltd.(‘Jump Trading’)为Jump Trading Group的成员公司。,,,560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,光大理财有限责任公司,"光大理财有限责任公司(‘光大理财’)是中国光大银行股份有限公司的全资附属公司。光大理财于2019年9月成立,注册资本为人民币50亿元。光大理财的主要业务活动包括面向社会公众公开发行理财产品,对受托的投资者财产进行投资和管理;面向合格投资者非公开发行理财产品,对受托的投资者财产进行投资和管理;理财顾问和咨询服务;及经中国银行保险监督管理委员会批准的其他业务。",中国光大银行股份有限公司,中国光大银行股份有限公司同时登陆上海证券交易所(股票代码:601818)及香港联合交易所(股份代号:6818)。,560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,"Mirae Asset Securities Co., Ltd.","Mirae Asset Securities Co., Ltd.(‘Mirae Asset’)是韩国最大的投资银行之一,提供全套金融服务,包括经纪、财富管理、投资银行、销售与交易以及本金投资。Mirae Asset主要从事企业贷款、结构融资及战略投资。Mirae Asset在韩国证券交易所上市,股份代号为006800.KS。","Mirae Asset Capital Co., Ltd.",,560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,鲁花道生(北京)企业管理发展有限公司,"鲁花道生(北京)企业管理发展有限公司(‘鲁花道生’)是山东鲁花投资有限公司的全资附属公司,为山东鲁花控股集团有限公司(‘鲁花控股’)下专注于股权投资的专业化平台。",孙孟全,,560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
2476.HK,胜宏科技,2026/04/21,2026/04/13,2026/04/20,是,盘京港景投资基金,"盘京港景投资基金(‘盘京基金’)是一家在开曼群岛根据《开曼群岛公司法》注册成立的获豁免有限责任公司,亦属全权委托基金。",萧建,,560100,117566100.0000,HKD,0.5800,6,2026/10/21,电子零件,电子设备和仪器
