code,name,listing_date,total_applicants,valid_applicants,subscribed_shares,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,source_table
2676.HK,纳芯微,2025-12-05,21942,21743,4822.4407,25.33,4.32,资讯科技业,信息技术,IPO打新中签结果
2687.HK,卓越睿新,2025-12-05,135193,122759,6665.9924,4813.4,1.0,资讯科技业,信息技术,IPO打新中签结果
2408.HK,遇见小面,2025-12-04,61057,59309,9591.874,425.97,2.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2658.HK,天域半导体,2025-12-04,45511,45019,15388.6317,60.63,10.0,资讯科技业,信息技术,IPO打新中签结果
2539.HK,乐摩科技,2025-12-02,173139,159958,5780.1745,7324.29,0.8,非必需性消费,非日常生活消费品,IPO打新中签结果
2693.HK,金岩高岭新材,2025-12-02,171899,158143,171899.0,6876.17,0.03,原材料业,原材料,IPO打新中签结果
9609.HK,海伟股份,2025-11-27,165803,151135,18306.1223,5426.27,1.0,工业,信息技术,IPO打新中签结果
2685.HK,量化派,2025-11-26,159327,146963,159327.0,9366.28,0.6,非必需性消费,通讯业务,IPO打新中签结果
2788.HK,创新实业,2025-11-21,145228,132968,51851.9357,447.2,10.0,原材料业,原材料,IPO打新中签结果
2579.HK,中伟新材,2025-11-16,40241,39925,13791.2832,27.9,10.0,原材料业,原材料,IPO打新中签结果
2698.HK,乐舒适,2025-11-07,294053,270534,40757.9174,1813.77,1.0,必需性消费,日常消费品,IPO打新中签结果
0699.HK,均胜电子,2025-11-05,94653,92791,17405.9863,147.67,16.0,非必需性消费,非日常生活消费品,IPO打新中签结果
0800.HK,文远知行-W,2025-11-05,64949,64546,19612.6033,73.44,6.64,资讯科技业,信息技术,IPO打新中签结果
2026.HK,小马智行-W,2025-11-05,37062,36619,21420.1976,15.88,55.0,资讯科技业,信息技术,IPO打新中签结果
2630.HK,旺山旺水-B,2025-11-05,265188,244283,10298.6009,6238.42,1.68,医疗保健业,医疗保健,IPO打新中签结果
9927.HK,赛力斯,2025-11-04,202321,194850,57929.0743,132.68,10.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2718.HK,明略科技-W,2025-10-31,283629,259920,18068.912,4452.86,1.0,资讯科技业,信息技术,IPO打新中签结果
1384.HK,滴普科技,2025-10-27,236934,219961,25215.1007,7569.83,3.0,资讯科技业,信息技术,IPO打新中签结果
6031.HK,三一重工,2025-10-27,115863,113392,81770.1422,52.93,50.0,工业,工业,IPO打新中签结果
6166.HK,剑桥科技,2025-10-27,206461,199662,55146.2908,338.7,5.0,资讯科技业,通讯业务,IPO打新中签结果
6980.HK,八马茶业,2025-10-27,168027,162764,8361.449,2680.04,0.8,必需性消费,日常消费品,IPO打新中签结果
0638.HK,广和通,2025-10-21,191156,184378,30046.7079,550.99,0.31,工业,信息技术,IPO打新中签结果
6687.HK,聚水潭,2025-10-20,386815,365172,48497.7878,1952.95,0.13,资讯科技业,信息技术,IPO打新中签结果
2637.HK,海西新药,2025-10-17,316139,298721,22058.5884,3165.1,1.0,医疗保健业,医疗保健,IPO打新中签结果
2670.HK,云迹,2025-10-15,260092,248480,24772.7427,5657.2,3.0,资讯科技业,工业,IPO打新中签结果
2575.HK,轩竹生物-B,2025-10-14,376021,356505,15197.5142,4908.33,1.0,医疗保健业,医疗保健,IPO打新中签结果
2650.HK,挚达科技,2025-10-09,201807,184313,11489.059,5440.8,0.04,工业,非日常生活消费品,IPO打新中签结果
8549.HK,金叶国际集团,2025-10-09,168066,168066,3044.1571,11464.72,0.5,地产建筑业,工业,IPO打新中签结果
2652.HK,长风药业,2025-10-06,264209,242915,8292.4024,6697.8,1.0,医疗保健业,医疗保健,IPO打新中签结果
2259.HK,紫金黄金国际,2025-09-29,350775,326642,198426.0875,240.74,50.0,原材料业,原材料,IPO打新中签结果
2583.HK,西普尼,2025-09-29,160901,156291,9547.7769,2505.9,1.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2889.HK,博泰车联,2025-09-29,108368,105110,18063.103,529.79,0.26,非必需性消费,信息技术,IPO打新中签结果
9973.HK,奇瑞汽车,2025-09-24,207928,194695,68748.296,308.18,0.67,非必需性消费,非日常生活消费品,IPO打新中签结果
6090.HK,不同集团,2025-09-22,154400,141789,10379.4747,3317.47,1.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2595.HK,劲方医药-B,2025-09-18,257876,235959,30830.1904,2662.79,0.08,医疗保健业,医疗保健,IPO打新中签结果
2656.HK,健康160,2025-09-16,69550,67433,8872.5504,751.77,8.0,医疗保健业,医疗保健,IPO打新中签结果
2525.HK,禾赛-W,2025-09-15,93392,91221,47249.0656,168.65,30.0,资讯科技业,信息技术,IPO打新中签结果
2543.HK,大行科工,2025-09-08,223909,206523,7903.6932,7558.4,0.02,非必需性消费,非日常生活消费品,IPO打新中签结果
2580.HK,奥克斯电气,2025-09-01,153533,147381,77933.8104,557.2,10.0,非必需性消费,非日常生活消费品,IPO打新中签结果
3858.HK,佳鑫国际资源,2025-08-27,164446,149942,24968.0118,2041.62,1.0,原材料业,原材料,IPO打新中签结果
6960.HK,双登股份,2025-08-25,217990,197912,12886.3902,3876.25,0.06,工业,信息技术,IPO打新中签结果
2631.HK,天岳先进,2025-08-19,215519,204270,90772.7603,2809.19,30.0,资讯科技业,信息技术,IPO打新中签结果
2591.HK,银诺医药-B,2025-08-14,256072,233412,18297.0722,5341.66,0.5,医疗保健业,医疗保健,IPO打新中签结果
2627.HK,中慧生物-B,2025-08-08,191879,180161,19045.2058,4007.64,1.0,医疗保健业,医疗保健,IPO打新中签结果
9887.HK,维立志博-B,2025-07-24,323706,303298,73332.8297,3494.78,0.27,医疗保健业,医疗保健,IPO打新中签结果
1304.HK,FORTIOR,2025-07-08,66796,65651,30868.3154,138.26,20.0,资讯科技业,信息技术,IPO打新中签结果
2590.HK,极智嘉-W,2025-07-08,94292,92816,39484.6039,133.62,4.26,资讯科技业,工业,IPO打新中签结果
2597.HK,讯众通信,2025-07-08,9119,9104,2912.4009,12.79,20.01,电讯业,信息技术,IPO打新中签结果
2651.HK,大众口腔,2025-07-08,35263,35180,8701.6881,108.25,10.0,医疗保健业,医疗保健,IPO打新中签结果
6613.HK,蓝思科技,2025-07-08,229080,221394,161996.5517,462.76,20.0,工业,信息技术,IPO打新中签结果
1828.HK,富卫集团,2025-07-04,61689,61402,38387.0198,37.13,20.0,金融业,金融,IPO打新中签结果
2648.HK,安井食品,2025-07-03,32830,32333,27728.092,44.2,70.0,必需性消费,日常消费品,IPO打新中签结果
2592.HK,拨康视云-B,2025-07-02,29007,28794,7403.372,78.78,5.0,医疗保健业,医疗保健,IPO打新中签结果
3880.HK,泰德医药,2025-06-27,70338,69673,38688.2532,301.15,50.0,医疗保健业,医疗保健,IPO打新中签结果
6603.HK,IFBH,2025-06-27,236078,215863,72216.0227,2682.35,10.0,必需性消费,日常消费品,IPO打新中签结果
9678.HK,云知声,2025-06-27,25483,25390,8445.9741,91.66,10.01,资讯科技业,信息技术,IPO打新中签结果
6883.HK,颖通控股,2025-06-26,31796,31678,31796.0,35.84,10.0,医疗保健业,日常消费品,IPO打新中签结果
2508.HK,圣贝拉集团,2025-06-25,52464,51796,14587.7689,193.0,2.54,非必需性消费,医疗保健,IPO打新中签结果
6168.HK,周六福,2025-06-25,126409,123062,39559.4199,711.11,0.82,非必需性消费,非日常生活消费品,IPO打新中签结果
2619.HK,香江电器,2025-06-24,48554,46894,16589.9244,852.38,10.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2643.HK,曹操出行,2025-06-24,25263,25174,19398.8065,21.14,50.0,非必需性消费,信息技术,IPO打新中签结果
2050.HK,三花智控,2025-06-20,334840,313491,215357.2546,747.92,15.0,工业,非日常生活消费品,IPO打新中签结果
2609.HK,佰泽医疗,2025-06-20,24054,23950,9659.125,25.92,20.0,医疗保健业,医疗保健,IPO打新中签结果
2617.HK,药捷安康-B,2025-06-20,135427,130077,135427.0,3419.87,0.8,医疗保健业,医疗保健,IPO打新中签结果
3288.HK,海天味业,2025-06-18,379668,356998,172089.4185,918.15,5.0,必需性消费,日常消费品,IPO打新中签结果
2573.HK,新琪安,2025-06-09,21482,21319,21482.0,149.37,10.0,必需性消费,日常消费品,IPO打新中签结果
2605.HK,元光科技,2025-06-09,32176,31844,15745.2986,274.44,45.0,非必需性消费,通讯业务,IPO打新中签结果
9881.HK,容大科技,2025-06-09,26751,26387,26751.0,275.96,6.01,资讯科技业,信息技术,IPO打新中签结果
2621.HK,手回集团,2025-05-29,53647,52375,14160.549,990.0,5.0,金融业,金融,IPO打新中签结果
2565.HK,派格生物医药-B,2025-05-26,49627,48276,10415.9861,743.78,8.0,医疗保健业,医疗保健,IPO打新中签结果
2603.HK,吉宏股份,2025-05-26,18521,18304,11937.0362,49.39,50.0,非必需性消费,非日常生活消费品,IPO打新中签结果
1276.HK,恒瑞医药,2025-05-23,203874,194421,92416.728,454.85,10.0,医疗保健业,医疗保健,IPO打新中签结果
2629.HK,MIRXES-B,2025-05-22,21541,21436,21021.624,25.51,95.0,医疗保健业,医疗保健,IPO打新中签结果
3750.HK,宁德时代,2025-05-19,310827,291778,69886.6246,151.15,10.0,工业,信息技术,IPO打新中签结果
6831.HK,绿茶集团,2025-05-15,98482,95708,71751.4014,317.54,40.0,非必需性消费,非日常生活消费品,IPO打新中签结果
2589.HK,沪上阿姨,2025-05-07,127637,119494,28173.4085,3616.83,10.0,必需性消费,日常消费品,IPO打新中签结果
2865.HK,钧达股份,2025-05-07,9151,9137,4988.2328,3.5,23.84,工业,信息技术,IPO打新中签结果
1333.HK,博雷顿,2025-05-06,30638,30391,4935.4883,198.72,2.0,工业,工业,IPO打新中签结果
9606.HK,映恩生物-B,2025-04-14,26857,25720,24799.9908,115.14,80.01,医疗保健业,医疗保健,IPO打新中签结果
3677.HK,正力新能,2025-04-11,5998,5992,5998.0,3.51,100.0,工业,信息技术,IPO打新中签结果
2625.HK,江苏宏信,2025-03-28,9084,9077,2490.9458,46.96,3.91,必需性消费,日常消费品,IPO打新中签结果
2569.HK,舒宝国际,2025-03-26,19843,19731,10958.4528,167.09,30.01,必需性消费,非日常生活消费品,IPO打新中签结果
2610.HK,南山铝业国际,2025-03-24,12791,12760,12791.0,3.89,100.0,原材料业,原材料,IPO打新中签结果
2561.HK,维昇药业-B,2025-03-20,22345,22138,7497.9614,72.64,6.27,医疗保健业,医疗保健,IPO打新中签结果
6693.HK,赤峰黄金,2025-03-07,29964,29872,19625.0867,9.53,28.0,原材料业,原材料,IPO打新中签结果
2097.HK,蜜雪集团,2025-02-28,264992,226091,70232.4588,5258.21,8.0,必需性消费,非日常生活消费品,IPO打新中签结果
1364.HK,古茗,2025-02-11,29086,27448,29086.0,194.87,100.0,必需性消费,非日常生活消费品,IPO打新中签结果
2571.HK,赛目科技,2025-01-14,4565,4561,4565.0,2.66,100.0,资讯科技业,信息技术,IPO打新中签结果
0805.HK,新吉奥房车,2025-01-10,2336,2333,2043.9852,2.52,80.04,非必需性消费,非日常生活消费品,IPO打新中签结果
2596.HK,宜宾银行,2025-01-10,2352,2352,2352.0,0.21,100.0,金融业,金融,IPO打新中签结果
