decision_tier_step8,code,name,listing_date,lifecycle_stage,step8_score,primary_score_step8,cornerstone_score_step8,secondary_score_step8,primary_recommendation_step8,cornerstone_recommendation_step8,secondary_recommendation_step8,buy_trigger_step8,sell_trigger_step8,risk_tags_step8
C 等触发,2575.HK,轩竹生物-B,2025-10-15,已上市/半新股,63.9,54.6,50.6,76.2,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2661.HK,轻松健康,2025-12-23,已上市/半新股,63.9,53.7,49.5,77.5,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,2546.HK,智汇矿业,2025-12-19,已上市/半新股,63.8,54.9,51.1,77.3,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,2097.HK,蜜雪集团,2025-03-03,已上市/半新股,63.8,54.8,51.1,76.5,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；基石阵容较多；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,6938.HK,瑞博生物-B,2026-01-09,已上市/半新股,63.8,57.6,56.6,73.3,只看二级/等待价格确认,不建议基石，除非估值显著让利,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,一手中签率低；基石阵容较多；公开认购过热；中签率极低；关注基石锁定期
C 等触发,6636.HK,极视角,2026-03-30,已上市/半新股,63.7,53.6,50.6,78.1,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,3858.HK,佳鑫国际资源,2025-08-28,已上市/半新股,63.6,54.2,50.4,77.3,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；关注基石锁定期
C 等触发,1318.HK,毛戈平,2024-12-10,已上市/半新股,63.5,53.2,52.4,79.4,只看二级/等待价格确认,不建议基石，除非估值显著让利,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,短期涨幅过大：分批止盈并跟踪成交背离,孖展拥挤；基石阵容较多；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,0325.HK,布鲁可,2025-01-10,已上市/半新股,63.5,53.5,49.1,78.0,只看二级/等待价格确认,不建议锁定,趋势确认买入/持有,趋势确认：回踩不破首日VWAP/发行价可试仓,持仓风控：发行价、首日VWAP、20D低点为核心防线,公开超购极热；孖展拥挤；暗盘强势；孖展极度拥挤；公开认购过热；关注基石锁定期
C 等触发,1609.HK,天星医疗,2026-05-05,已上市/半新股,63.3,54.7,50.8,74.8,只看二级/等待价格确认,不建议锁定,等待回踩发行价/VWAP后试仓,趋势确认：回踩不破首日VWAP/发行价可试仓,首日情绪强但后续不足：放量不创新高止盈,公开超购极热；孖展拥挤；一手中签率低；暗盘强势；综合风险惩罚高；孖展极度拥挤；公开认购过热；中签率极低；行情样本不足；关注基石锁定期
