code,name,listing_date,issue_price,offer_price_low,offer_price_high,public_subscription_multiple,international_subscription_multiple,one_lot_success_rate_pct,cornerstone_count,cornerstone_amount_hkd,margin_multiple,decision_tier,pre_listing_score
2408.HK,遇见小面,2025-12-05,7.04,5.64,7.04,425.97,4.99,2.0,6.0,171019200.0,363.948,C 等待触发,57.1
2658.HK,天域半导体,2025-12-05,58.0,58.0,58.0,60.63,2.47,10.0,2.0,161521300.0,53.5652,D 回避/仅跟踪,47.6
2693.HK,金岩高岭新材,2025-12-03,7.3,7.3,7.3,6876.17,2.01,0.03,4.0,76219300.0,6701.9205,B 重点观察,74.1
2539.HK,乐摩科技,2025-12-03,40.0,27.0,40.0,7324.29,6.78,0.8,,,7118.2065,B 重点观察,73.3
9609.HK,海伟股份,2025-11-28,14.28,14.28,14.28,5426.27,6.11,1.0,1.0,216042120.0,5171.7015,B 重点观察,73.7
2685.HK,量化派,2025-11-27,9.8,8.8,9.8,9366.28,15.07,0.6,,,8521.8277,A 高优先,76.1
2788.HK,创新实业,2025-11-24,10.99,10.18,10.99,447.2,19.85,10.0,18.0,2728795020.0,391.9332,B 重点观察,69.7
2579.HK,中伟新材,2025-11-17,34.0,34.0,37.8,27.9,4.08,10.0,9.0,1658233150.0,20.529,C 等待触发,54.8
2698.HK,乐舒适,2025-11-10,26.2,24.2,26.2,1813.77,34.33,1.0,20.0,1079633880.0,1658.0301,A 高优先,89.1
0699.HK,均胜电子,2025-11-06,22.0,,23.6,147.67,9.78,16.0,7.0,831974000.0,137.8226,C 等待触发,58.1
0800.HK,文远知行-W,2025-11-06,27.1,,35.0,73.44,9.85,6.64,,,71.2462,D 回避/仅跟踪,49.1
2630.HK,旺山旺水-B,2025-11-06,33.37,32.0,34.0,6238.42,16.87,1.68,,,5608.4223,A 高优先,77.8
2026.HK,小马智行-W,2025-11-06,139.0,,180.0,15.88,7.72,55.0,5.0,932273000.0,13.055,C 等待触发,52.4
9927.HK,赛力斯,2025-11-05,131.5,,131.5,132.68,8.61,10.0,23.0,6420974050.0,128.9329,C 等待触发,58.1
2718.HK,明略科技-W,2025-11-03,141.0,141.0,141.0,4452.86,13.93,1.0,7.0,458909880.0,4152.8302,A 高优先,81.3
6031.HK,三一重工,2025-10-28,21.3,20.3,21.3,52.93,13.96,50.0,23.0,5907388860.0,51.2773,B 重点观察,64.7
6166.HK,剑桥科技,2025-10-28,68.88,,68.88,338.7,16.5,5.0,16.0,2256698220.0,275.1827,B 重点观察,62.5
6980.HK,八马茶业,2025-10-28,50.0,45.0,50.0,2680.04,13.58,0.8,,,2325.573,A 高优先,76.4
1384.HK,滴普科技,2025-10-28,26.66,26.66,26.66,7569.83,16.61,3.0,,,7359.0558,A 高优先,77.1
0638.HK,广和通,2025-10-22,21.5,19.88,21.5,550.99,9.16,0.31,10.0,1249838000.0,454.3313,B 重点观察,63.4
6687.HK,聚水潭,2025-10-21,30.6,30.6,30.6,1952.95,22.89,0.13,13.0,1011724740.0,1897.5493,A 高优先,86.4
2637.HK,海西新药,2025-10-20,86.4,69.88,86.4,3165.1,6.3,1.0,1.0,171221600.0,2927.7502,B 重点观察,73.8
2670.HK,云迹,2025-10-16,95.6,95.6,95.6,5657.2,18.62,3.0,,,5109.715,A 高优先,78.2
2575.HK,轩竹生物-B,2025-10-15,11.6,11.6,11.6,4908.33,10.15,1.0,1.0,76600000.0,4751.9848,A 高优先,76.3
2650.HK,挚达科技,2025-10-10,66.92,66.92,83.63,5440.8,2.37,0.04,,,5209.6377,B 重点观察,71.0
8549.HK,金叶国际集团,2025-10-10,0.5,0.45,0.65,11464.72,1.2,0.5,,,10838.2375,B 重点观察,70.6
2652.HK,长风药业,2025-10-08,14.75,14.75,14.75,6697.8,12.74,1.0,,,6704.9556,A 高优先,75.7
2259.HK,紫金黄金国际,2025-09-30,71.59,71.59,71.59,240.74,20.38,50.0,29.0,12468214626.0,225.7268,B 重点观察,70.2
2889.HK,博泰车联,2025-09-30,102.23,102.23,102.23,529.79,3.72,0.26,3.0,464790739.6,440.315,C 等待触发,55.4
2583.HK,西普尼,2025-09-30,29.6,27.0,29.6,2505.9,3.9,1.0,,,2565.845,B 重点观察,72.2
